,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Bur,PB15_00001,-1.0,-1.0,-1.0,-1.0,-1.0,9.819026845838625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.945495185103555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,Bur,PB15_00002,-1.0,9.21424771158767,9.713563820374583,10.034213775876692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.054894594799693,-1.0,12.338753517919674,-1.0,-1.0,-1.0,-1.0,9.77535332238928,-1.0,-1.0,-1.0,8.372424189450014,-1.0,7.8606515552147105,-1.0,-1.0,-1.0,-1.0,11.209099208211281
2,Bur,PB15_00003,-1.0,7.937562355955654,9.328495841694583,10.067656646705482,10.285295792664403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.753727698432032,8.892796083552154,9.733047292725328,-1.0,-1.0,8.352496568910972,-1.0,-1.0,9.349663045995895,10.161495065269403,-1.0,-1.0,-1.0,7.870998565044112,9.01792638514155,9.586938026986257,-1.0,-1.0,8.953830686174005,-1.0
3,Bur,PB15_00004,-1.0,-1.0,10.28993639732178,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,Bur,PB15_00005,8.752889550775164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Bur,PB15_00006,-1.0,7.858252832879909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.4334995579858,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.035675860545154,10.65897290431946,-1.0,-1.0,-1.0,-1.0
6,Bur,PB15_00007,-1.0,-1.0,8.186629183852029,6.734156675645396,5.86849307449259,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.803748978203497,-1.0,11.911092619216719,11.547267700232428,-1.0,8.530945312566468,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,Bur,PB15_00008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.419940041915288,-1.0,9.676921613948547,-1.0,-1.0,-1.0,-1.0,5.9441266111044495,-1.0,-1.0,-1.0,-1.0,10.01752006757081,-1.0
8,Bur,PB15_00009,9.144367255529394,-1.0,-1.0,6.628495129056488,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.282883706237987,-1.0,-1.0,10.289421119846628,-1.0,-1.0,-1.0,9.4334995579858,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,Bur,PB15_00010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
