,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Bur,PB15_00001,0.0,0.0,0.0,0.0,0.0,902.7783661153635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.5175472789031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Bur,PB15_00002,0.0,593.4705994533614,839.1031798527016,1048.0745903665952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.214002591334,0.0,5179.561524865364,0.0,0.0,0.0,0.0,875.8439005132633,0.0,0.0,0.0,330.89871296973763,0.0,231.9298508810693,0.0,0.0,0.0,0.0,2366.9187670900037
2,Bur,PB15_00003,0.0,244.65703577166198,642.4201876264789,1072.6653372279472,1247.4079396599627,0.0,0.0,0.0,0.0,0.0,0.0,3452.722787314237,474.8334380504988,850.518858910024,0.0,0.0,326.3526466192732,0.0,0.0,651.9226443949856,1144.788277183351,0.0,0.0,0.0,233.60283006484354,517.9016087635528,768.5523661479498,0.0,0.0,495.37431395648827,0.0
3,Bur,PB15_00004,0.0,0.0,1251.4284506009897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Bur,PB15_00005,430.90214834169603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Bur,PB15_00006,0.0,231.5437183872697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.9588364560366,0.0,0.0,0.0,0.0,0.0,0.0,130.70472453940812,1616.3531130829779,0.0,0.0,0.0,0.0
6,Bur,PB15_00007,0.0,0.0,290.85397505726297,105.9591893557437,57.92415566524707,0.0,0.0,0.0,0.0,0.0,0.0,893.2632894024903,0.0,3850.7007678124164,2992.274161931639,0.0,369.3881604591773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Bur,PB15_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.4904394087557,0.0,818.0470948956367,0.0,0.0,0.0,0.0,61.06876014385503,0.0,0.0,0.0,0.0,1036.0112555841279,0.0
8,Bur,PB15_00009,565.3858509941274,0.0,0.0,98.44090077971082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.4116335040322,0.0,0.0,1250.981387760088,0.0,0.0,0.0,690.9588364560366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Bur,PB15_00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Bur,PB15_00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
