,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Cau,PB07_00001,-1.0,6.892519406423106,4.7666871950091565,8.645463267329232,9.478734665327899,7.861677793924784,7.028069129393804,8.844861380113672,7.449544315497772,7.523163769890582,-1.0,7.174160361365258,5.772764601832791,-1.0,7.9242339143662,-1.0,7.526222189019202,6.88788828748958,-1.0,7.0451721098351365,7.126011410500571,7.184779257959546,7.254886984623027,7.4564667789208094,8.607420629138714,7.674332363804687,6.219777342628413,7.643919655460926,7.492605298736615,8.041943263000027,8.641177385298983
1,Cau,PB07_00002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.455111042486901,5.383669285657567,-1.0,-1.0,-1.0,-1.0,3.8062749442052484,-1.0,-1.0,-1.0,6.779153865555963,6.867965355309609,6.83503880845714,7.110978708447219,6.985186896419733
2,Cau,PB07_00003,7.5486252183182385,7.980662245052999,6.911316179797061,5.503095550547445,5.021615688755222,7.291588185641186,7.646072163388059,7.1432239494649945,6.644006695345028,7.912669269863062,-1.0,-1.0,-1.0,7.45591225049346,5.77790916578879,4.580272617944065,7.103212719178973,6.201379496257658,6.045153650254437,7.254195966164615,6.295420394035883,8.924934437155796,6.778256041866291,7.784822455286183,5.797388643467468,7.676198079155308,7.043877430985357,7.022739778193686,7.756837947911807,8.055283951798204,6.008631188839238
3,Cau,PB07_00004,-1.0,9.669411318853804,10.429445636265267,9.469837146255735,10.800786107660054,9.936855192787682,9.440745932910362,7.773708819488464,8.131392157288312,8.039332865179246,10.53852955500566,10.514676381443172,10.358842335758212,10.34660687419887,10.529809772777071,-1.0,9.602885238032075,10.233239152904567,10.388413179247358,9.970407858055472,10.428912830655644,7.817546673531547,7.713758526415588,8.387771948995582,8.096290193648166,9.06396551164376,9.3582526246312,9.980196390439298,10.209078474962606,9.063650452100417,9.285112717259215
4,Cau,PB07_00005,7.7461666626607855,7.930870923708817,-1.0,8.90903119816278,6.788773219115589,8.487024156306227,7.824060105941518,-1.0,-1.0,7.685452855685735,9.492329874830348,-1.0,6.133228451042671,7.070248723190678,5.974257633309384,-1.0,7.035607011366893,7.644726943224798,8.649059532592016,8.16051544376868,5.91131589832203,7.5065477587209175,7.222470716159131,8.200931941754154,9.398501933507449,7.815015806036611,7.799105860912963,8.711703638327306,9.367664582398337,8.016354775564363,9.366437620388108
5,Cau,PB07_00006,6.761655580412522,5.3024512153103895,-1.0,-1.0,5.568694750327054,6.998810426694487,5.067756130468508,7.9390000184829095,7.052011733848015,5.891095874000293,6.946441759742725,-1.0,4.918153565888021,-1.0,-1.0,9.729319473225798,6.09200127597254,4.605732872045655,-1.0,6.184240035448736,5.684555769931619,8.634130456877722,6.6062900491271295,8.34607365132146,6.433324812427513,6.590495069700616,7.223954770003675,6.122321735885936,5.417762098637281,7.483928007707253,5.9780898125059005
6,Cau,PB07_00007,-1.0,4.662068130370803,-1.0,-1.0,6.908667437718283,7.7786428234372105,6.897081873462923,6.073650632300718,8.00243821197658,8.503133021636664,7.463833519925329,-1.0,-1.0,-1.0,4.696214391256814,-1.0,6.352018062777061,4.541312723024671,4.387523333835355,4.463484754286102,4.634007488374231,7.181681017272577,7.139640493505756,7.7206269334903235,1.2684897399672768,7.107391519671708,6.947670853017795,7.110251590919825,6.0826345553946,6.824858014760525,-1.0
7,Cau,PB07_00008,-1.0,-1.0,9.532778783107272,-1.0,-1.0,6.7502615100672045,-1.0,3.753035563075611,-1.0,8.438711036601138,-1.0,-1.0,-1.0,-1.0,6.812664560977955,-1.0,5.816065376015404,-1.0,-1.0,6.57610844944171,-1.0,7.892252724425428,9.595492861930525,-1.0,-1.0,8.531724073125723,4.857110305949962,6.606702003689972,8.212501642044625,7.7899353748122255,-1.0
8,Cau,PB07_00009,-1.0,-1.0,-1.0,-1.0,-1.0,7.396542695225195,6.177648083512908,3.416421004047384,5.53530087420392,6.542086825844453,6.668712987339085,-1.0,-1.0,-1.0,-1.0,-1.0,5.786966545358053,5.67359433260994,5.15978806174139,4.5122341306735185,5.408568858605194,7.8228834215429695,5.068530876934792,8.657023051442684,9.400261087905335,7.1834546301225135,8.007082539524271,6.954259678585684,4.567594951979827,6.763962782717868,5.7015530870062765
9,Cau,PB07_00010,-1.0,-1.0,-1.0,-1.0,-1.0,7.853927651941931,8.02198841103014,7.395032012333825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.193350572473316,5.380476904242513,-1.0,3.820868006119402,7.269756208365977,-1.0,8.763424533717613,9.321842996378146,2.7081391252018254,-1.0,8.057452530095016,6.7134325359185105,5.4272997663929985,8.573899351716255,-1.0
