,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Cell,PB01_00001,-1.0,-1.0,9.937541883868297,7.6807288604859005,9.84747119503704,11.489718774018328,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.145756085565917,-1.0,-1.0,-1.0,7.989650764317683,10.61222562822553,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.60022721644069,-1.0,9.048569045016858,-1.0
1,Cell,PB01_00002,9.449830043952053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.810493512590465,11.370575742721314,-1.0,-1.0,11.518529074663082
2,Cell,PB01_00003,-1.0,-1.0,-1.0,10.410043322830584,-1.0,-1.0,12.247417869241591,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.943043087342511,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.102751098402294,-1.0
3,Cell,PB01_00004,-1.0,8.289859812790754,9.154524224982062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.577480133768834,-1.0,-1.0,9.75634534921543,-1.0
4,Cell,PB01_00005,-1.0,-1.0,8.230818410753564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Cell,PB01_00006,-1.0,9.962491941582007,7.372401944890883,6.287633135401519,6.647706169348045,-1.0,-1.0,10.552142311699216,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.714939525905734,-1.0,7.59171510648964,10.95025579361942,9.812335801540355,8.374606489713955,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.621975445717284,9.97101402999107,-1.0
6,Cell,PB01_00007,9.64345812984564,-1.0,8.336259095026866,-1.0,-1.0,10.735107440140352,-1.0,-1.0,-1.0,-1.0,-1.0,10.246647168963529,-1.0,-1.0,-1.0,-1.0,8.693201576723387,-1.0,9.456615683893393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.254462516088012,-1.0,9.4295924700296,-1.0,8.61618996841623,-1.0
7,Cell,PB01_00008,-1.0,-1.0,-1.0,-1.0,10.941929015005162,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.733247210905251,10.877806817273195,-1.0,-1.0,-1.0,9.527446845613902,9.759938649719986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.92543338694597,-1.0,11.336528180559075,-1.0,-1.0
8,Cell,PB01_00010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.170141321140923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,Cell,PB01_00012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.367882684003977,-1.0,-1.0,-1.0,-1.0
