,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Cell,PB01_00001,0.0,0.0,980.1142279056813,204.67751972357055,920.7642343268142,2875.2424795248785,0.0,0.0,0.0,0.0,0.0,0.0,1132.3617420233024,0.0,0.0,0.0,253.67014397815922,1564.8023413404617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.5845573719823,0.0,529.0301593859775,0.0
1,Cell,PB01_00002,698.8302223194823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1795.4027489664252,2647.2950536680496,0.0,0.0,2933.2476680664313
2,Cell,PB01_00003,0.0,0.0,0.0,1360.1151310663074,0.0,0.0,4861.782054396827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.2211780329005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.295427588263,0.0
3,Cell,PB01_00004,0.0,312.4654986386622,569.3839000241691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.527170175231,0.0,0.0,864.373515494221,0.0
4,Cell,PB01_00005,0.0,0.0,299.9161184619286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cell,PB01_00006,0.0,997.2205236376747,165.19680162704168,77.62070887896822,99.76721663755718,0.0,0.0,1500.9516596827089,0.0,0.0,0.0,0.0,0.0,0.0,1680.308358170384,0.0,192.40077194219737,1978.0883794559104,898.5987705304848,331.40038431331254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.47914288475783,1003.1315614277559,0.0
6,Cell,PB01_00007,799.2792991546085,0.0,322.69455783878396,0.0,0.0,1703.9699389589327,0.0,0.0,0.0,0.0,0.0,1214.4213186434802,0.0,0.0,0.0,0.0,413.4181143947849,0.0,702.1272326699645,0.0,0.0,0.0,0.0,0.0,0.0,1221.0206319031995,0.0,689.088770011177,0.0,391.90237641510134,0.0
7,Cell,PB01_00008,0.0,0.0,0.0,0.0,1966.7014866842323,0.0,0.0,0.0,0.0,0.0,0.0,6808.594360652801,1881.1816036838736,0.0,0.0,0.0,737.4845718074711,866.5303288068147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.60460084600084,0.0,2585.5387550201667,0.0,0.0
8,Cell,PB01_00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18434.263926893927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cell,PB01_00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.8571327292116,0.0,0.0,0.0,0.0
