,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Chi,PB16_ctg.s1.000000F_00001,6.3569321318713135,6.9510797259247745,5.536859932752599,3.69138131242369,2.7650098170053155,-1.0,-1.0,-1.0,-1.0,13.16612896583079,-1.0,-1.0,-1.0,-1.0,-1.0,10.11599101709144,9.531577412648826,6.784662859246694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,Chi,PB16_ctg.s1.000000F_00002,5.281323887369685,4.083548457056609,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,Chi,PB16_ctg.s1.000000F_00003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Chi,PB16_ctg.s1.000000F_00004,5.9419093688887425,-1.0,-1.0,3.070520164840073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.941819226089079,7.625779035255215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.204837062489402,-1.0,-1.0,-1.0
4,Chi,PB16_ctg.s1.000000F_00005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Chi,PB16_ctg.s1.000000F_00006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,Chi,PB16_ctg.s1.000000F_00007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.95986956934029,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,Chi,PB16_ctg.s1.000000F_00008,6.755981032597871,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.34403760157701,-1.0,-1.0,-1.0
8,Chi,PB16_ctg.s1.000000F_00009,6.562044157346318,-1.0,-1.0,-1.0,4.655514429324964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,Chi,PB16_ctg.s1.000000F_00010,-1.0,-1.0,5.987469879712389,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,Chi,PB16_ctg.s1.000000F_00011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Chi,PB16_ctg.s1.000000F_00012,6.466608443273193,5.764043024452416,5.630846057684817,-1.0,5.066900300974584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.043976407820953,-1.0,-1.0,6.591076784855916,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Chi,PB16_ctg.s1.000000F_00013,-1.0,8.118689554845135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.568615182768731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.817139052486739,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,Chi,PB16_ctg.s1.000000F_00014,-1.0,6.125157459905237,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,Chi,PB16_ctg.s1.000000F_00015,-1.0,4.9625368712842155,-1.0,-1.0,7.781327117570629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.198998537888192
15,Chi,PB16_ctg.s1.000000F_00016,-1.0,-1.0,5.210024661063835,-1.0,4.783345705738555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.756273606285276,-1.0,9.633635818669225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.957320542739764,-1.0,-1.0,-1.0
16,Chi,PB16_ctg.s1.000000F_00017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Chi,PB16_ctg.s1.000000F_00018,7.072360666971941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.815315187707204,-1.0,-1.0,-1.0,13.406220810697162,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,Chi,PB16_ctg.s1.000000F_00019,7.555295146113085,8.667970301263388,8.20400208997189,6.14696719563979,2.8047841856072875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.226833181742558,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.908430343459416,-1.0,-1.0,-1.0,-1.0,8.236798641343956,7.093793217592589,-1.0,-1.0,-1.0,-1.0,-1.0
19,Chi,PB16_ctg.s1.000000F_00020,-1.0,-1.0,4.747897673009781,-1.0,4.067935192290645,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,Chi,PB16_ctg.s1.000000F_00021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.528727778626035,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.632710403329547,-1.0,-1.0,-1.0,-1.0,-1.0
21,Chi,PB16_ctg.s1.000000F_00022,4.682090315910909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.67306564946837,-1.0,-1.0,-1.0,-1.0,10.77208405519739,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,Chi,PB16_ctg.s1.000000F_00023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.071620556171949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,Chi,PB16_ctg.s1.000000F_00024,8.182450515759712,7.872525306565087,8.118512070782506,8.531047279213123,7.450483366882049,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.638687685568605,9.718799217450139,8.336517896585066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.64845045551556,6.650436357405656,9.083627725215925,-1.0,-1.0,-1.0,5.994002205928158,-1.0
24,Chi,PB16_ctg.s1.000000F_00025,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,Chi,PB16_ctg.s1.000000F_00026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,Chi,PB16_ctg.s1.000000F_00027,7.230858894398929,6.596192089407251,8.561487242897782,7.981210475689712,8.073533928877096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.658685288772846,7.422062885731067,-1.0,-1.0,9.689304473027423,7.59286024082968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.14384766736778,-1.0,9.105443554746088,-1.0,-1.0,-1.0,-1.0,-1.0
27,Chi,PB16_ctg.s1.000000F_00028,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,Chi,PB16_ctg.s1.000000F_00029,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,Chi,PB16_ctg.s1.000000F_00030,5.6492587009033945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,Chi,PB16_ctg.s1.000000F_00031,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
