,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Chi,PB16_ctg.s1.000000F_00001,81.4647751981079,123.23241791151798,45.925963064303275,12.418631207862694,6.297526247599841,0.0,0.0,0.0,0.0,9191.282630389947,0.0,0.0,0.0,0.0,0.0,1109.228480327861,739.6005163405451,109.7521408122505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Chi,PB16_ctg.s1.000000F_00002,38.38990720804691,16.453937363604915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chi,PB16_ctg.s1.000000F_00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Chi,PB16_ctg.s1.000000F_00004,60.97420931890325,0.0,0.0,7.900761824345653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.02589429394,197.00960930378665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.5543795526223,0.0,0.0,0.0
4,Chi,PB16_ctg.s1.000000F_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi,PB16_ctg.s1.000000F_00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chi,PB16_ctg.s1.000000F_00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.4086243276064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Chi,PB16_ctg.s1.000000F_00008,107.58189260650326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.2672632321146,0.0,0.0,0.0
8,Chi,PB16_ctg.s1.000000F_00009,93.98701393451108,0.0,0.0,0.0,24.702840356939117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi,PB16_ctg.s1.000000F_00010,0.0,0.0,62.94655295981925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi,PB16_ctg.s1.000000F_00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Chi,PB16_ctg.s1.000000F_00012,87.93885508534328,53.843780403752824,49.051130162930455,0.0,33.018839630925676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.4235736729346,0.0,0.0,95.9077208560434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Chi,PB16_ctg.s1.000000F_00013,0.0,277.4515380080336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.17341737474294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0242956264277,0.0,0.0,0.0,0.0,0.0,0.0
13,Chi,PB16_ctg.s1.000000F_00014,0.0,69.30011266083011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Chi,PB16_ctg.s1.000000F_00015,0.0,30.679737375888333,0.0,0.0,219.49502942155277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.401761032047
15,Chi,PB16_ctg.s1.000000F_00016,0.0,0.0,36.51465459869755,0.0,27.03788215286878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.70762694475332,0.0,793.8526500242078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.8011123102112,0.0,0.0,0.0
16,Chi,PB16_ctg.s1.000000F_00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
