,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Coh,PB10_00001,-1.0,-1.0,-1.0,-1.0,4.772975249703924,-1.0,-1.0,-1.0,-1.0,-1.0,11.626249716140276,8.248195624633874,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.206245507882226,-1.0,-1.0,6.752116380909587,-1.0,-1.0,-1.0,-1.0,-1.0
1,Coh,PB10_00002,-1.0,5.979985599034015,-1.0,-1.0,3.969872107395877,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.400202010657598,5.48765303161511,-1.0,-1.0,-1.0,-1.0,-1.0
2,Coh,PB10_00003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.695267982501333,-1.0,-1.0,-1.0,-1.0,-1.0
3,Coh,PB10_00004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.410266599922803,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.589984296549654,-1.0,-1.0,7.94473680819962,-1.0,-1.0,-1.0,-1.0,-1.0
4,Coh,PB10_00005,8.756045380794374,7.484794971726525,7.1489470885927355,6.8914004877813735,6.7639174915962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.188765821056556,-1.0,-1.0,-1.0,-1.0,-1.0,8.703099863466795,-1.0,-1.0,9.723358149452876,10.610146835901498,-1.0,-1.0,10.89896013004778,-1.0
5,Coh,PB10_00006,-1.0,-1.0,9.85367700315997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.518585515172132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.780752913095563,-1.0,8.096294015342655,9.629559106537569,-1.0,-1.0,-1.0,-1.0,-1.0
6,Coh,PB10_00007,7.46471040297779,5.720130734165072,5.966023139567071,5.996740866663742,8.217969348999098,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.56205529040734,-1.0,9.540575780424845,-1.0,-1.0,-1.0,-1.0,-1.0,9.098228966894919,-1.0,7.722177871784372,8.307558920159806,-1.0,10.329055324967593,-1.0,10.250324746531588,-1.0
7,Coh,PB10_00008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.38095364323337,-1.0,-1.0,-1.0,-1.0,-1.0
8,Coh,PB10_00009,-1.0,7.245448363883797,7.460422428127462,-1.0,6.7544985417212295,8.444853723622312,-1.0,-1.0,-1.0,-1.0,11.338248295385199,8.374981369749785,-1.0,-1.0,-1.0,8.353218284922043,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8376665768454155,-1.0,6.76784446768006,7.484659908251472,-1.0,-1.0,-1.0,-1.0,-1.0
9,Coh,PB10_00010,-1.0,-1.0,3.27172592670729,-1.0,7.881894149199358,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.956852045872751,-1.0,-1.0,7.0040203870761255,10.07656966781706,10.56956620117416,-1.0,-1.0,-1.0
10,Coh,PB10_00017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Coh,PB10_00018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Coh,PB10_00019,8.18014522124814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.55475449763383,-1.0,-1.0,5.527082167977726,-1.0,-1.0,-1.0,-1.0,-1.0
13,Coh,PB10_00020,6.87729195040689,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.339331398051722,-1.0,-1.0,-1.0,-1.0,-1.0
14,Coh,PB10_00021,8.44840424490432,5.414369235200669,5.561233652050839,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.9387242124985744,-1.0,-1.0,-1.0,-1.0,-1.0
15,Coh,PB10_00022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.103562901914996,-1.0,-1.0,4.61689125848237,-1.0,-1.0,-1.0,-1.0,-1.0
16,Coh,PB10_00023,-1.0,-1.0,-1.0,5.116137958766081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.927976156637993,-1.0,-1.0,-1.0,-1.0,-1.0
17,Coh,PB10_00024,-1.0,-1.0,8.492494235999082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.137512928999938,-1.0,-1.0,10.523173675196832,9.491699579602868,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.748766502126346,-1.0,-1.0,-1.0,-1.0,-1.0
18,Coh,PB10_00025,-1.0,8.276101117345505,-1.0,-1.0,7.3582805194681775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.062940825061771,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.64285702832441,-1.0,-1.0,-1.0,-1.0,-1.0
19,Coh,PB10_00026,10.798944233649237,11.151116525549225,11.695928501082838,11.263130554759744,9.27466158249046,9.784869912195449,-1.0,-1.0,-1.0,15.975763549451555,12.67934945453302,-1.0,12.476521122544312,12.038724760625387,8.528871847867421,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.9980317233653455,-1.0,12.997385607025743,10.790210353689162,13.30656046845291,13.034230487118622,-1.0,13.655878056953066,13.923792934497424
