,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Coh,PB10_00001,0.0,0.0,0.0,0.0,26.840642659375085,0.0,0.0,0.0,0.0,0.0,3160.6849207885,303.55650076665336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.1851399576724,0.0,0.0,107.29275325547752,0.0,0.0,0.0,0.0,0.0
1,Coh,PB10_00002,0.0,62.618263038624974,0.0,0.0,15.1693356383185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.42066372102627,44.36918367707717,0.0,0.0,0.0,0.0,0.0
2,Coh,PB10_00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.313925470010986,0.0,0.0,0.0,0.0,0.0
3,Coh,PB10_00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2721.1514428962287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.1779459517079,0.0,0.0,245.8792262104693,0.0,0.0,0.0,0.0,0.0
4,Coh,PB10_00005,431.8468538636693,178.62153317184172,141.42127726715816,118.2184612558356,108.17810401589063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2333.7863292583934,0.0,0.0,0.0,0.0,0.0,416.2677584554003,0.0,0.0,844.8225638373658,1562.548507223966,0.0,0.0,1908.9747537361388,0.0
5,Coh,PB10_00006,0.0,0.0,924.7356232278581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.4312215773869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.1299480619494,0.0,273.1701009133719,791.6111673117548,0.0,0.0,0.0,0.0,0.0
6,Coh,PB10_00007,176.14515909945536,52.21460178142395,62.01034845687695,63.35558340291188,297.25240462422863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.47548615884907,0.0,744.2310921744491,0.0,0.0,0.0,0.0,0.0,547.5747904133145,0.0,210.65782076705165,316.3286345980457,0.0,1285.839126322132,0.0,1217.5222282306863,0.0
7,Coh,PB10_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17047508640416,0.0,0.0,0.0,0.0,0.0
8,Coh,PB10_00009,0.0,151.23902513566202,175.62091423339888,0.0,107.47088638673107,347.9610811947243,0.0,0.0,0.0,0.0,2588.6239090961512,331.4866388517207,0.0,0.0,0.0,326.51619733186425,0.0,0.0,0.0,0.0,0.0,0.0,228.25612732321804,0.0,108.47432578642369,178.60476480179366,0.0,0.0,0.0,0.0,0.0
9,Coh,PB10_00010,0.0,0.0,9.158009795251735,0.0,235.37752465457538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.61423567613663,0.0,0.0,127.85719762944404,1079.315913323221,1519.1951159139264,0.0,0.0,0.0
10,Coh,PB10_00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Coh,PB10_00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Coh,PB10_00019,289.5474692572046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.52158684041584,0.0,0.0,45.61237819556532,0.0,0.0,0.0,0.0,0.0
13,Coh,PB10_00020,117.06313698484638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62136102562706,0.0,0.0,0.0,0.0,0.0
14,Coh,PB10_00021,348.8197118252912,42.14690781445911,46.71697304460399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.167329670912466,0.0,0.0,0.0,0.0,0.0
15,Coh,PB10_00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.88155525979,0.0,0.0,24.03707303075871,0.0,0.0,0.0,0.0,0.0
16,Coh,PB10_00023,0.0,0.0,0.0,34.18254732436177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.38336346005943,0.0,0.0,0.0,0.0,0.0
17,Coh,PB10_00024,0.0,0.0,359.6600210498863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.9073432761843,0.0,0.0,1471.103885433381,719.4233891019675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.58550651095504,0.0,0.0,0.0,0.0,0.0
18,Coh,PB10_00025,0.0,309.49499603212274,0.0,0.0,163.5828356672725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138.826291924768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.36153476524538,0.0,0.0,0.0,0.0,0.0
19,Coh,PB10_00026,1781.0833111804848,2273.657606098785,3317.1098055930206,2457.263793087172,618.8716686798651,881.6437210639334,0.0,0.0,0.0,64443.72896889554,6558.905978262026,0.0,5698.610786520565,4206.933519078832,368.8569330348028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.15097595946153,0.0,8176.668235314977,1770.330428715379,10131.002131193422,8388.193891549286,0.0,12906.607056422947,15540.513106224493
20,Coh,PB10_00027,3114.668633484452,1497.209705013415,2481.9235534996837,1651.5163314017484,1496.1396430692112,1076.4638691642033,0.0,0.0,0.0,0.0,2669.4174143738087,512.7489956770063,1391.5708737121379,2935.1745900903143,0.0,4646.557840382588,2667.5249258837002,0.0,4193.852765379308,0.0,0.0,0.0,332.30149578141106,407.6297621768828,8892.863360071267,1471.960131740877,4365.772233666961,1024.176482638602,0.0,969.761774795478,4743.639768379387
21,Coh,PB10_00028,0.0,0.0,621.5436156121668,692.756952946594,429.9636281746342,0.0,0.0,0.0,0.0,0.0,11684.171305537819,3366.4913568629668,0.0,9635.552650255499,1971.2681994974707,0.0,1297.320865593712,0.0,0.0,2488.0394898353434,0.0,0.0,0.0,0.0,367.21226680158185,367.60959721958693,0.0,0.0,0.0,0.0,0.0
22,Coh,PB10_00029,0.0,0.0,0.0,0.0,14.88945859702111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.2906589873953,0.0,26.130338431223308,716.8887985172685,0.0,0.0,0.0,0.0
23,Coh,PB10_00030,0.0,0.0,115.12926599745039,0.0,12.809661205691176,0.0,0.0,0.0,0.0,0.0,0.0,1303.8474461501014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.0969155308499,2389.8103596830424,0.0,41.214041726707244,0.0,0.0,0.0,0.0,0.0
24,Coh,PB10_00031,0.0,0.0,0.0,86.46173734985622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.71580744184578,0.0,263.5288032340764,874.7515059534813,1142.805084695175,0.0,0.0,0.0,0.0
25,Coh,PB10_00032,191.2121773487978,0.0,0.0,0.0,37.44819749227583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.953320517960583,0.0,0.0,0.0,300.37864718143,0.0
26,Coh,PB10_00033,0.0,0.0,76.67170991373544,142.42728051817403,15.639702634855507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.94670421247432,0.0,86.82150494145928,86.91544740463101,0.0,0.0,0.0,0.0,0.0
