,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Lys,PB06_00001,-1.0,-1.0,9.9207484456537,8.78925485635454,8.629583699120861,8.120300957680694,7.65985119279253,7.6131592557481,7.718936266160455,7.326912579781655,7.637161596531202,8.853568892766948,8.39333036987263,8.441476861168116,8.817114303793101,9.321596461059075,8.281968236057152,8.260837038713733,8.457128731284456,8.467489065858993,8.487536309540623,6.581797592402302,7.660382041247774,7.735470026800459,7.2462001670565845,8.01688363172842,6.999914514638043,7.144088455378338,7.188330104991937,7.495383647726693,6.826390873023773
1,Lys,PB06_00002,-1.0,9.017977931695404,-1.0,-1.0,6.742613507732462,7.6673195800382485,7.505814866862732,7.990040139736888,7.8666768826549625,8.035468977233416,7.675421389770314,8.082072258820688,7.233437686931151,8.098571392266594,8.330247639866169,8.877562390227897,7.857557174997232,7.67506933808363,8.600310288877742,7.4333395310506125,8.98315673524572,7.215086531211462,7.982144038746844,8.290840815566254,7.481521997218631,7.138053005400794,6.9641172241849745,7.287189234801678,7.325726953919632,7.466919461070672,8.398843002692661
2,Lys,PB06_00003,-1.0,-1.0,-1.0,8.350684917303322,-1.0,6.375327803139903,7.671153662168377,7.999728881316401,7.909561328369875,7.4162789764802115,6.369782574782706,-1.0,7.445216635307824,5.432093352255801,-1.0,8.897331861147395,5.569229079030147,5.522232426453217,5.2832475527832,5.4653704856803325,7.260805016372154,7.3321996460148275,7.788439266295614,7.890121057846908,8.059542516920637,6.460886178088844,6.230798361911275,6.499309695579795,5.111076280326026,6.909430900597437,6.315952911654605
3,Lys,PB06_00004,-1.0,8.692476688290443,8.379982484437312,10.29836333048158,8.470935853333033,7.887894546742337,7.470098644134132,7.429629612479758,7.19428902047248,7.1466514949084505,7.56560290987825,8.77227829715635,7.894321761540965,8.224061348036246,8.878153824533477,8.190076081075363,8.150049873446259,8.510775711191833,8.532344023266948,8.448240473214135,8.086171175060143,6.935363287118725,7.266077103912692,6.749115996022104,6.409479622787982,7.565900290691463,7.158342849024226,7.334079829572688,7.636182585920026,7.288553734155523,7.047354148510086
4,Lys,PB06_00005,5.509327800112385,-1.0,5.7538161673861765,10.157073593302071,8.771722306994153,6.1883280221686485,6.823170828081706,7.390110757057186,7.0403357563542714,7.1445816906485105,5.198830161171652,6.990020104290361,5.153966418889018,6.118200911318609,6.3124254875855375,-1.0,6.396281969457792,5.938670630463202,6.601969910570111,5.949627067486957,8.111659698198276,6.607990672284319,6.5475016213860915,7.046197883577144,7.0634588246259,6.288607449045191,5.947583869356393,5.565374519360001,5.575359024036258,6.032733100089118,5.640436833386251
5,Lys,PB06_00006,-1.0,-1.0,6.489700719536992,-1.0,-1.0,6.181181978558953,6.891337902790824,7.105627075943378,7.39393786098889,7.262010888863795,5.671509541806923,-1.0,-1.0,6.442326001133768,4.492040826902124,-1.0,6.1016328906187685,6.1979939918997955,5.543980104054237,5.60388499970761,4.631781475777458,7.31412813527642,6.534204900330425,7.593697277404255,7.697191277233125,6.175024002883639,6.2530923837163,6.265964403077293,5.8728625126899505,6.417055033506679,5.248762583159687
6,Lys,PB06_00007,-1.0,10.934554678155209,11.161032489362283,9.399355072301832,8.754668441292397,9.335759097098231,7.338408638322578,6.862328029245477,7.494060030966284,7.042845931415828,9.52225171154207,10.939810083454894,10.661255012091182,10.652547650621235,10.540272475028313,10.308770144073804,10.346988787800049,10.39036881558908,10.127315642056498,10.19898233167509,9.903695362456558,7.198073239826462,7.71809513224753,6.408391758864531,7.387820772686333,9.573504418073876,9.259515025992474,9.33954569066172,9.881975728197126,9.045926015411558,9.16993226152119
7,Lys,PB06_00008,10.610323776411999,11.67973714103387,11.750138834657342,11.80093210958557,10.136399564180572,9.613385776929686,7.4631287129377,7.096891377692616,6.732428066567783,7.212067284387104,9.287479895810925,11.685974697232668,11.675547854169823,11.538140965731902,11.761024131349599,8.42558156183262,10.913356101716353,11.296234940557547,10.389593469578323,11.034585844802539,10.05842788605485,7.107565871613952,7.902851898558044,7.410009960418496,7.619652733256386,9.291213583500014,9.916179581103583,9.362760480366791,9.977435176586464,9.82840188224887,8.614919721803327
8,Lys,PB06_00009,-1.0,10.641278841153053,11.62657854715167,12.079099039350085,10.538126209005597,10.547000908040323,7.265502783880413,7.646750553809233,7.306286427748196,6.986743954281552,9.925584306196109,11.269140708297934,11.01987470282806,11.819913825640272,11.66867457151344,-1.0,11.362446402949743,11.256946440806944,11.511630599980865,11.370168158971577,11.51029478768306,6.395725883833162,8.256695003974274,7.593338401797098,7.956666389446451,9.621263451559246,9.234038563977391,9.902944422963516,10.389580041455934,9.217465053989708,10.01716660066211
9,Lys,PB06_00010,10.19285017735732,11.275985451930493,11.796970842275167,10.614724160058234,12.469028649690026,11.533191379373504,7.3743073323143955,7.033216125486222,7.599072739658421,7.782882155828395,10.77446182053614,12.424762921018342,12.461877456966548,12.464948475500417,12.876715881681138,-1.0,12.198339260309423,12.37465396634136,12.377919534228049,12.250703909247607,12.807980493474226,6.6383753486012775,7.905429424818748,6.451210684986128,8.556426862902924,10.711537093982823,10.356693385928207,10.594568682132177,11.424887562796219,10.29154166284162,11.298129921838642
