,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Lys,PB06_00001,0.0,0.0,968.7657384199127,441.9144988786607,395.5623349877041,277.7621664575569,201.7297157172821,195.28945511845404,210.1839008175721,160.05375311675127,198.57408226094753,462.08314599289673,335.73599563695086,347.1464051561619,450.5408538119285,639.3528994337729,310.7582434194724,306.23246018634467,350.9385717700023,353.4714189419905,358.4244292538868,95.28963109379221,201.80414106860712,212.61229628401588,151.31811850330982,258.5135265013441,127.49241572068613,140.94412609510732,145.3488403360344,179.94103394160732,112.98760081538258
1,Lys,PB06_00002,0.0,517.9201312461769,0.0,0.0,106.58506755648098,202.77931095182845,181.25041736339944,253.73875235356928,232.90260983175764,261.87182210843844,203.92408742445912,270.48557733117974,149.98101626403297,273.6024460256671,321.3506650846421,469.84070720506804,231.4318554329044,203.87420920174128,387.60690447740285,172.34553564029986,505.557228939823,148.0790123744306,252.35106393302888,312.6783810714636,178.21562916067697,140.35363694306167,124.35564363557882,155.69335147350074,159.9218621216687,176.4158457741881,337.0232332768373
2,Lys,PB06_00003,0.0,0.0,0.0,325.94246188011715,0.0,82.51659203809326,203.32026112896276,255.45189568145702,239.94470210374362,170.31359305061477,82.19811698055062,0.0,173.77437401389142,42.674074666986755,0.0,476.33021973552474,46.979376320145775,45.45762778123161,38.44179694597831,43.68149970993788,152.86282598408238,160.64321632023038,220.58223102462625,236.72644889487844,266.28662249383126,87.58876843458998,74.60298591716771,89.96637105323897,34.061077231215705,119.71148276423885,79.16935068182815
3,Lys,PB06_00004,0.0,413.2101916681455,332.63947036794843,1258.762494692417,354.31811406909895,236.36061970598263,176.80613479359147,171.90163095747482,145.952501006604,141.19563392803414,188.94075293505503,436.7390054268195,237.41818913431726,298.5123677188252,470.0335633864856,291.5509122729033,283.559604517522,364.25291844492097,369.7469455045547,348.78006004094436,271.2565833639109,121.89181643174744,153.4242900242652,107.06880871949406,84.50522535724288,188.97980613077743,142.34857645053256,160.85336214498543,198.4390367243382,155.84114885266717,131.77110715866448
4,Lys,PB06_00005,45.04837880060925,0.0,53.45991488056315,1141.2836500058268,436.5705334065683,72.4243148868825,112.734582922746,167.24323300556023,131.1292001231208,140.99249193609302,36.2285531821745,126.6176108170191,35.103975107716906,68.96435281004109,78.97479514691763,0.0,83.73115066283943,60.8363592780908,96.63840621141769,61.30394684385783,276.10045092398076,97.04463846681432,93.03935796961942,131.66513939213965,133.25590967563082,77.67348495269597,61.216479757819904,46.8526913189662,47.18154320548503,64.96868517555473,49.38163446350873
5,Lys,PB06_00006,0.0,0.0,89.36582786004584,0.0,0.0,72.0639949123209,118.21331128830356,137.22313114527407,167.68880397834312,152.99106744780556,50.467636273675936,0.0,0.0,86.4627706872157,22.002928001131277,0.0,68.17118197961283,72.91454381513782,46.15565669799054,48.133718553114974,24.291634331096496,158.63729102606462,92.18120524643827,192.6659874449502,207.03218416329787,71.75492404113939,75.77256876939221,76.45613309761647,58.10137101602813,84.9527510567519,37.52200176331735
6,Lys,PB06_00007,0.0,1956.671789957983,2289.342237238234,674.7861098073668,431.4344094841381,645.6651340242336,161.33823022301166,115.85005070542101,179.77556220801185,131.3584238596517,734.8318739129513,1963.8143167894532,1618.9127343794148,1609.1682322342922,1488.6490797628132,1267.8789672372056,1301.928796773976,1341.6859227841464,1117.973718916401,1174.9376764084839,957.376176578509,146.3371532436089,210.0611016683542,84.44115134363145,166.9771860110788,761.4245960429915,612.4030296502995,647.3633297274154,943.0634520868371,528.0609436996634,575.5028986139395
7,Lys,PB06_00008,1562.7402203397191,3280.084441825898,3444.1431887654835,3567.5796601952056,1125.038401132679,782.78079570955,175.95160136291307,136.39172011310833,105.83170841795234,147.76839397053706,624.3992922095917,3294.2989009029748,3270.5721233101194,2973.4011229249572,3470.231706514705,343.3371362606946,1928.1238806035701,2514.312180416269,1340.9647870752472,2097.190102166065,1065.8223275537737,137.40833765212648,238.82908077395794,169.57295839012718,196.17267702378132,626.0186230188407,965.7010304023578,657.8725978710299,1007.6084799819641,908.6672349430584,391.5570307902993
8,Lys,PB06_00009,0.0,1596.6441806057142,3161.405526376982,4326.342944022088,1486.4353521426838,1495.610385290715,153.36302675851417,199.90164681528145,157.7746535881389,126.32927277473934,972.020132667338,2467.523999602068,2075.9086719699467,3614.835516891114,3255.025156775357,0.0,2632.4171380866255,2446.7511331213186,2919.252974834506,2646.54711611011,2916.55078432877,83.69869009099719,305.35308208420173,192.61794268312732,247.92497152638776,787.0695111038235,601.6748163751186,956.8777206618378,1340.9523012282746,594.7966865238484,1035.757336674612
9,Lys,PB06_00010,1169.9520987056778,2479.261150008873,3557.796074370231,1567.5155594282928,5669.089825105583,2963.2157691560556,165.4157842744145,130.4812165295011,193.3870638337503,219.7322833899437,1751.105076193478,5497.773362431728,5641.056173831377,5653.077963675252,7520.537014183769,0.0,4699.155399698901,5310.080908276342,5322.115124686772,4872.869542012963,7170.608812402514,99.12081775768475,239.2570495124947,86.99997411162029,375.97933389809697,1676.3490337540652,1310.719396659966,1545.7615776859575,2748.8742034060983,1252.8222282200884,2517.6175588931933
10,Lys,PB06_00011,511.8540431837341,10054.781330591539,12148.571961264204,12397.623060932861,1842.4541931593146,1707.3944765603217,333.3420947857088,215.34929592474862,365.1853202269404,273.0228371689002,650.1304294076533,8375.112692302539,10427.406866779213,8003.862859461,8802.446732510547,1561.8798871762676,6339.951455640524,7862.646116816197,4470.576704736888,7487.212297536006,3325.8415873314293,188.86534194369662,139.9908268424171,117.89126926719563,155.22666238770836,1619.9454047113752,2336.9944798086544,1906.09725198448,2348.08180933593,1905.714620255473,958.2249174948043
11,Lys,PB06_00012,0.0,0.0,0.0,1165.3449007466904,0.0,49.594263362869334,165.09964393347408,135.35890419072632,171.88609817620335,193.64667898307553,13.358347181575455,0.0,0.0,0.0,0.0,0.0,30.953691928016475,32.37803719510409,34.36032220850407,30.82398225145714,24.1116962990143,138.8405832879714,191.6695953777794,131.1444054201091,167.7805126791733,50.87386148948507,52.72544075041633,60.4650370272749,19.83255781555993,56.05594406850826,48.417279312369494
12,Lys,PB06_00013,0.0,0.0,0.0,0.0,620.9003141782305,49.04927145778286,187.4327008756224,194.07632922663788,131.54548329811482,145.91461153761887,16.10157919207756,0.0,31.20353342908169,153.25411735564688,46.799878605580815,444.76389168162297,27.7657701679882,25.50790745412612,36.814630937682935,36.3282647963602,38.7509404805587,180.7392208482468,131.02171759017565,139.4761489725976,122.97865651110503,60.41271051876352,46.10706872344705,55.198585187071295,20.410386097780187,85.98324754098107,47.88522129794785
13,Lys,PB06_00014,0.0,1727.9698924304266,0.0,0.0,0.0,114.12316285205726,417.3179294667948,326.0019916834916,347.1347552350252,265.0176403450065,184.43627074561567,241.7245297415819,89.35557300146121,263.3184380019751,67.00891709435436,0.0,167.8567014701105,125.63803871495936,140.56495448933484,146.58905195721377,406.8848750458663,552.020151278762,242.1494219679165,180.9204007093922,217.4850461657889,106.66167550920451,114.19146258780006,89.91930657175332,80.06564907597459,147.7348525931402,62.849352953556554
14,Lys,PB06_00015,0.0,0.0,0.0,0.0,0.0,92.7031230552096,287.6974978824378,207.9330508657146,245.76096656338325,225.02368574498183,45.558994598215236,14.927549906848567,49.66288688923317,146.34961606846613,0.0,0.0,39.485847891528486,22.734795157429122,39.0622610370362,24.529400612738524,75.3807768506026,191.54033505109177,112.64639854091071,255.2304503674587,303.48352709581684,71.33050895157275,92.99592444431015,75.57804896738969,42.57132701184872,132.4917414866199,45.51616298110201
15,Lys,PB06_00016,0.0,0.0,0.0,0.0,1073.7923080494102,115.1215253626786,248.9326237546164,383.8853657596259,287.80545382316956,261.1365960036986,45.96843000718613,0.0,30.83643303579838,0.0,0.0,0.0,48.01844958463842,30.249377310304858,42.44510390462267,29.3734419102121,114.88514118942109,314.3122706943842,205.24002720383461,296.48226471763934,171.79714601964602,115.36396237762644,87.43483556967828,94.39949658339857,48.07706739809109,158.7829003931501,86.75675388098787
16,Lys,PB06_00017,0.0,619.8152875022182,0.0,0.0,0.0,93.06699400923065,243.10262393786215,333.28689974233004,251.88208962780328,302.7706462989341,31.85312405389256,0.0,0.0,0.0,64.09548591633894,163.9973881535081,26.407661844553996,11.877812557986553,46.218368188069334,31.66159046481195,26.535970111686936,193.1851343392173,169.89795803147894,280.1493731583425,235.22564925350483,92.69272861059713,93.58217914521025,81.03025841637633,35.61180826292261,143.06920507451628,40.98870844797167
