,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Mes,PB05_00001,9.175549599086992,-1.0,9.214211495211307,-1.0,7.007043858688678,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.15145688334116,-1.0,-1.0,-1.0,10.11114246942482,10.482323713130292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,Mes,PB05_00002,-1.0,-1.0,8.02734890049765,7.924707181821337,7.402242856255582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.31423340685144,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,Mes,PB05_00003,8.847880199588296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.298244830616987,-1.0,-1.0,-1.0
3,Mes,PB05_00004,-1.0,-1.0,-1.0,-1.0,-1.0,11.543145801125288,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,Mes,PB05_00005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.033797091008477,-1.0,-1.0
5,Mes,PB05_00006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.63635772577295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.195591447947168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,Mes,PB05_00007,-1.0,-1.0,7.392005196510911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.492391457449818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,Mes,PB05_00008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,Mes,PB05_00009,-1.0,-1.0,10.184528920889772,-1.0,-1.0,-1.0,11.908657773679712,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.940177204487886,-1.0,-1.0,-1.0,10.812314299839656,-1.0,-1.0,-1.0,-1.0
9,Mes,PB05_00010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.511157675181417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,Mes,PB05_00011,10.462059452101787,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.94390453798992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Mes,PB05_00012,-1.0,-1.0,8.399825521800098,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.687956785602632,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.212520030066038,-1.0,-1.0
12,Mes,PB05_00013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.43091237089948,-1.0,12.623918855187217,10.188397242852464,-1.0,-1.0,11.312570699946791,-1.0,-1.0,-1.0,-1.0,9.468042519691583,-1.0,-1.0,-1.0
13,Mes,PB05_00014,8.108809340784335,-1.0,9.806424647969875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.689069237798966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.381725115464848,8.94662140445432,-1.0,-1.0,-1.0,12.200807643802438,-1.0,-1.0,-1.0,8.226813234574932,-1.0,-1.0,-1.0
14,Mes,PB05_00015,-1.0,-1.0,-1.0,-1.0,-1.0,11.438294908027643,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.429494153027004,-1.0,-1.0,-1.0,9.09722836503995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,Mes,PB05_00016,8.579585117742043,-1.0,-1.0,-1.0,-1.0,-1.0,12.099958911423919,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.851867579251349,-1.0,10.033949260508603,-1.0,11.08976888818256,-1.0,-1.0,-1.0,-1.0,6.549505662551026,-1.0,-1.0,9.366122179803027,9.388500335673054,-1.0
16,Mes,PB05_00017,-1.0,-1.0,-1.0,-1.0,7.548258269108141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.115427280290294,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Mes,PB05_00018,-1.0,10.203734037921947,10.038679718440894,10.566389732481923,10.042834783789546,10.037054949267253,-1.0,-1.0,-1.0,-1.0,-1.0,11.195937064526232,-1.0,10.380385121232681,-1.0,-1.0,9.280366981159045,9.425118333749836,9.567204749700178,8.132800144392945,10.622887903651893,-1.0,9.255916397496863,-1.0,5.2673576038382235,6.085438797866147,-1.0,-1.0,-1.0,-1.0,-1.0
18,Mes,PB05_00019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.364552151594797,-1.0,-1.0,11.707368794745184,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,Mes,PB05_00020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.578957892486603,-1.0,-1.0,-1.0,-1.0,8.104913517789734,-1.0,-1.0,-1.0,-1.0,-1.0,8.633619528676752,-1.0,9.96721902829308,9.870854911453835,-1.0,-1.0
20,Mes,PB05_00021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,Mes,PB05_00022,-1.0,-1.0,7.372301177226303,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,Mes,PB05_00023,8.153091400266494,-1.0,10.345215487626708,5.153698134329239,7.199406143148254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.766524640824741,9.118443720491964,8.345472172927423,9.477013125944659,6.701527336858163,-1.0,-1.0,10.0381405668116,-1.0,-1.0,-1.0,-1.0,-1.0,7.401313873164232,-1.0,-1.0,-1.0,-1.0,-1.0
23,Mes,PB05_00024,-1.0,-1.0,9.976703072390505,10.288755262949016,8.181938881615796,11.758840919658535,-1.0,-1.0,-1.0,11.962081205573865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.44860512191591,-1.0,-1.0,12.643308733594939,-1.0,-1.0,-1.0,9.621201964315535,-1.0,-1.0
24,Mes,PB05_00025,-1.0,5.691485669762055,9.683133517088347,9.410545129292112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.802465735301437,-1.0,-1.0,7.5625820364281,-1.0,-1.0,-1.0,-1.0,-1.0,6.511239634743695,-1.0,7.841155101393687,-1.0,-1.0,-1.0
25,Mes,PB05_00026,-1.0,9.348417695589719,11.108508336228727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.734581992974313,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0304909844688295,8.85279426709455,-1.0,-1.0,-1.0,-1.0,-1.0
26,Mes,PB05_00027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.138480866745635,-1.0,-1.0,13.999109988285555
27,Mes,PB05_00028,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.63051292735636,7.268361180584502,-1.0,-1.0,10.022280436630083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.301403074443593,-1.0,-1.0,-1.0
28,Mes,PB05_00029,9.137723040845724,-1.0,8.655658735855624,9.744509195428188,-1.0,-1.0,-1.0,-1.0,-1.0,10.248058217110014,-1.0,9.637324095629042,-1.0,12.72762929066056,9.369758639899588,-1.0,7.140155343329065,-1.0,10.329530837372676,9.47891822254021,11.385416647388318,-1.0,-1.0,-1.0,6.022363270445289,-1.0,-1.0,-1.0,-1.0,10.361752973532523,-1.0
29,Mes,PB05_00030,-1.0,-1.0,9.750827448337175,-1.0,8.80306855911945,-1.0,-1.0,-1.0,-1.0,13.383669118015819,-1.0,-1.0,11.372102457611872,-1.0,-1.0,-1.0,9.30268548907078,12.03153979118587,13.495542933098253,9.475505953610044,-1.0,-1.0,-1.0,-1.0,-1.0,8.421146903715057,-1.0,-1.0,-1.0,-1.0,-1.0
30,Mes,PB05_00031,9.39372778898972,-1.0,8.519731402427038,6.836282766672445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,Mes,PB05_00032,-1.0,-1.0,-1.0,7.38826195117166,-1.0,-1.0,10.604137829236283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.118513114433101,-1.0,-1.0,-1.0,-1.0,-1.0,9.064085598305631,-1.0,-1.0,-1.0,9.587386804697935,13.580085406447802
32,Mes,PB05_00033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.48310955106349,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.186031895748156,-1.0,-1.0,-1.0,-1.0,-1.0
33,Mes,PB05_00034,8.238794841317914,8.868037753271702,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.499523149705405,-1.0,-1.0,-1.0,-1.0,-1.0,10.639008384625368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.112603053709791,-1.0,-1.0,-1.0,-1.0,-1.0
34,Mes,PB05_00035,-1.0,7.445332028588438,8.692840490611971,-1.0,7.069866249737014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.481504907158719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.6855835561373205,-1.0,-1.0,-1.0,-1.0,-1.0
35,Mes,PB05_00036,-1.0,-1.0,-1.0,10.40460355044566,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.501881620761525,-1.0,-1.0,-1.0,-1.0,-1.0
36,Mes,PB05_00037,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,Mes,PB05_00038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.659855550016204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.79918351365846,-1.0,-1.0,-1.0,-1.0,10.929200823544942,-1.0,-1.0,-1.0,-1.0
38,Mes,PB05_00039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.15748367450046,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.6007471719251605,-1.0,7.024982953763275,-1.0,-1.0,-1.0,-1.0,-1.0
39,Mes,PB05_00040,-1.0,-1.0,-1.0,9.973631734941572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,Mes,PB05_00041,-1.0,-1.0,7.837416223347222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,Mes,PB05_00042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.018015112314028,-1.0,-1.0,-1.0,-1.0,10.976071420170332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,Mes,PB05_00043,-1.0,-1.0,11.189410511453305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.85970621581176,-1.0,-1.0,-1.0,-1.0,-1.0
43,Mes,PB05_00044,-1.0,-1.0,8.990763996420913,-1.0,8.195274371127304,-1.0,-1.0,-1.0,11.016352005289164,-1.0,-1.0,-1.0,9.764018653655686,-1.0,-1.0,12.05945352280123,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.476108726757353,7.8136094168969,-1.0,-1.0,8.63545913821969,-1.0,-1.0
44,Mes,PB05_00045,10.068391743927679,-1.0,5.872618396396346,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.016440765675684,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.737119940087086,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,Mes,PB05_00046,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.356158543420067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.830235936844062,-1.0,-1.0,-1.0,-1.0,-1.0
46,Mes,PB05_00047,-1.0,10.081877319832648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,Mes,PB05_00048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.380997056756221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,Mes,PB05_00049,-1.0,-1.0,-1.0,-1.0,9.387492645479481,10.506659420916211,-1.0,11.222297518429942,10.699983722974478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.888080011022918,-1.0,7.134676766725064,-1.0,-1.0,-1.0,-1.0,-1.0
49,Mes,PB05_00050,11.04410151964958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.584522376420232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,Mes,PB05_00051,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.382639053052946,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,Mes,PB05_00052,-1.0,-1.0,8.892000070542567,-1.0,10.264458294849312,-1.0,-1.0,11.300435454912812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.8218039901362,-1.0
52,Mes,PB05_00053,9.460834144115815,7.845111311364716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.085516935938047,8.721593730485326,-1.0,-1.0,-1.0,-1.0
53,Mes,PB05_00054,-1.0,7.2297609346433,-1.0,5.800052587524947,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.523248463678799,-1.0,-1.0,10.23135736754914,-1.0,-1.0,6.473973019313733,10.103516055080766,-1.0,-1.0,-1.0,-1.0
54,Mes,PB05_00055,7.893639616151406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.03602303691864,-1.0,-1.0,-1.0,-1.0,-1.0,9.678813744445904,-1.0,-1.0
55,Mes,PB05_00056,8.937766902100229,-1.0,9.910151636210106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
56,Mes,PB05_00057,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57,Mes,PB05_00058,8.571119220577776,-1.0,-1.0,8.836988875755342,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0751063271505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.374718812550154,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,Mes,PB05_00059,11.998993984713966,-1.0,10.813126700995811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.756702612896758,-1.0,12.33501918597227,-1.0,10.423697505987352,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.804511714388443,-1.0,-1.0,-1.0,-1.0,-1.0
59,Mes,PB05_00060,9.46782893663409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.651011889594436,-1.0,-1.0,-1.0
60,Mes,PB05_00061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.592098210058156,-1.0,10.014969149269215,-1.0,-1.0,-1.0,10.53846842306584,-1.0
61,Mes,PB05_00062,-1.0,-1.0,-1.0,10.045298415175926,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.648083754511417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,Mes,PB05_00063,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,Mes,PB05_00064,-1.0,-1.0,10.098785903678072,-1.0,-1.0,-1.0,-1.0,-1.0,12.690595997483825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.693194497567633,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.21312785455415,-1.0,-1.0
64,Mes,PB05_00065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.659735088999458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
65,Mes,PB05_00066,-1.0,-1.0,10.648404818298111,10.513181518007062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.685271302408443,-1.0,-1.0,-1.0,10.030273139657975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.732891808763494,-1.0,-1.0,-1.0,-1.0,-1.0
66,Mes,PB05_00067,-1.0,8.252445160221656,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.277899823510497,-1.0,7.606974407665198,-1.0,-1.0,-1.0
67,Mes,PB05_00068,8.68475345536062,-1.0,-1.0,9.398210247283053,10.738870228263227,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.277899823510497,10.491062331527592,-1.0,-1.0,-1.0,-1.0
68,Mes,PB05_00069,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.359892117135061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.030551781792052,11.02682334738381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
69,Mes,PB05_00070,-1.0,-1.0,-1.0,9.480883982165066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.99157377616661,-1.0,-1.0,9.812783617170991,-1.0,-1.0
70,Mes,PB05_00071,-1.0,-1.0,10.238289644593575,-1.0,6.862408494002887,10.43589643811575,-1.0,-1.0,-1.0,10.343742557391714,-1.0,-1.0,-1.0,-1.0,10.005660531147464,11.55298406957177,7.360681381321642,-1.0,-1.0,-1.0,-1.0,12.196925824945469,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,Mes,PB05_00072,-1.0,-1.0,6.28229037985698,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.321679276168755,-1.0,-1.0,11.444189972121013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
