,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Mes,PB05_00001,577.7500194196801,0.0,593.4556890307381,0.0,128.12647926748608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.1735460510968,0.0,0.0,0.0,1105.5052124127214,1430.0197624693383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Mes,PB05_00002,0.0,0.0,260.39923441831314,242.48226079752064,168.6597890625621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0956139610047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mes,PB05_00003,460.2627250433688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0795329150079,0.0,0.0,0.0
3,Mes,PB05_00004,0.0,0.0,0.0,0.0,0.0,2983.73576178096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Mes,PB05_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.7717806518124,0.0,0.0
5,Mes,PB05_00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6366.322045787995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.8390968167898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mes,PB05_00007,0.0,0.0,167.46364558281172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11523.799645619678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mes,PB05_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mes,PB05_00009,0.0,0.0,1163.2205321919855,0.0,0.0,0.0,3844.2065536451814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.314237314884,0.0,0.0,0.0,1797.6707412064547,0.0,0.0,0.0,0.0
9,Mes,PB05_00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2918.2960177131517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Mes,PB05_00011,1410.0669744331199,0.0,0.0,0.0,0.0,0.0,0.0,15758.676610253593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Mes,PB05_00012,0.0,0.0,337.2531751320514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.91608334627557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186.019446154482,0.0,0.0
12,Mes,PB05_00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.7199535100427,0.0,6311.663480170304,1166.345022213364,0.0,0.0,2542.9494390045393,0.0,0.0,0.0,0.0,707.7144745293838,0.0,0.0,0.0
13,Mes,PB05_00014,275.55450614799554,0.0,894.9224303258368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.4368687340577,0.0,0.0,0.0,0.0,0.0,0.0,1333.668450355396,492.9025646700212,0.0,0.0,0.0,4707.203172197227,0.0,0.0,0.0,299.0832668772826,0.0,0.0,0.0
14,Mes,PB05_00015,0.0,0.0,0.0,0.0,0.0,2774.543955604435,0.0,0.0,0.0,0.0,0.0,0.0,2757.6671096452606,0.0,0.0,0.0,547.1947970651631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Mes,PB05_00016,382.0713740707501,0.0,0.0,0.0,0.0,0.0,4389.359075691228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2547451755441,0.0,1047.8823538506683,0.0,2178.9809648242035,0.0,0.0,0.0,0.0,93.16938335720785,0.0,0.0,659.4084951592488,669.7243702921123,0.0
16,Mes,PB05_00017,0.0,0.0,0.0,0.0,186.67685851731653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.7949357772486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Mes,PB05_00018,0.0,1178.8155178895631,1051.3255403557805,1515.8527923599192,1054.3592400056257,1050.1416368279356,0.0,0.0,0.0,0.0,0.0,2345.418315554335,0.0,1332.4298323671017,0.0,0.0,621.3259357737118,686.9535059072192,758.1048314171036,280.1834410903612,1576.4136030432085,0.0,610.8761222189677,0.0,38.0152425026241,67.4046656131755,0.0,0.0,0.0,0.0,0.0
18,Mes,PB05_00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2636.262933416164,0.0,0.0,3343.5223970116435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Mes,PB05_00020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.3101674276397,0.0,0.0,0.0,0.0,274.8100600283543,0.0,0.0,0.0,0.0,0.0,396.67184037561907,0.0,1000.494983170307,935.8180835410708,0.0,0.0
20,Mes,PB05_00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Mes,PB05_00022,0.0,0.0,165.1852286361068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Mes,PB05_00023,284.1590979992238,0.0,1300.328889449772,35.09735478365355,146.47287851067676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.99871170772155,555.308358541819,324.76508860429396,712.1318362632201,103.57843306495404,0.0,0.0,1050.9325345671057,0.0,0.0,0.0,0.0,0.0,168.5508984133888,0.0,0.0,0.0,0.0,0.0
23,Mes,PB05_00024,0.0,0.0,1007.0970391040061,1250.4039162784588,289.9083010153717,3464.9834652940176,0.0,0.0,0.0,3989.2460501228866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5589.393656912819,0.0,0.0,6397.0718674001,0.0,0.0,0.0,787.0359458352324,0.0,0.0
