,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Mic,012_00001,9.355233165948654,8.481377238290781,7.801361533743136,8.034424463449735,7.146614625701467,9.087353520154306,9.216094526450668,6.296151088366769,8.018832498077735,8.39720369101597,5.8724601470928395,8.242897112687466,8.085624029832381,8.308197500605743,8.139515011278693,7.639406493853013,7.835716951094033,7.464260745323468,7.831995805069145,8.2523990299038,7.4436181140867,-1.0,-1.0,8.751409683545383,-1.0,7.403670064637762,7.398658815188355,7.538382862070847,6.52313038039186,7.911270691662451,7.980144832842271
1,Mic,012_00002,8.882095226684745,8.735405610289298,9.334778143277404,9.22656700708637,7.983684448257288,7.758753438196451,9.27850744864386,9.504222632714093,9.016335749201954,8.831573605990606,7.119645487865942,9.495868087181423,9.064493790700636,9.475558319918875,9.065082064919237,7.620789756618571,8.254334051576384,8.654914896736942,8.570506712661157,8.346139956190887,7.959757852134327,-1.0,-1.0,7.555417199223887,-1.0,10.461624887630782,7.84451911727078,7.177173507414606,6.399678098136409,7.671403898820905,6.365943242094159
2,Mic,012_00003,9.274789926691406,6.330912234252555,7.716348228324894,5.917925771245756,7.647979837057339,8.547193733052042,6.938927944277615,-1.0,5.784822557210779,9.107147194789876,6.0670965542541015,7.027220223530993,7.489639196758505,6.395241256388296,6.7990814523662975,7.2267574017767595,7.042956592107337,7.598698659601218,8.02779610266902,7.52415913304238,6.322782981533575,-1.0,-1.0,9.475330533099275,12.1176043612078,-1.0,6.789759949558271,6.025608662028564,4.055090223685314,6.3292021671377405,6.308151173142563
3,Mic,012_00004,8.69125694683716,6.581860514649613,7.269544323516735,-1.0,-1.0,7.63136895279971,8.327848268518528,7.960823082061337,7.764353207963094,9.107994820446745,-1.0,4.716799505884398,6.424501586481908,7.380334429011011,6.593036285637186,8.357876564466522,7.167776802529756,7.1362892168294225,6.9612889585694075,6.680138077649447,6.573723127203307,-1.0,-1.0,9.199552360269342,-1.0,-1.0,6.779160998126675,6.467698839852988,6.592836898030604,8.311827253113519,-1.0
4,Mic,012_00005,9.700903064165448,10.70184729726186,10.6265159575939,10.826500849914323,10.400772817627473,8.06046161751215,8.503304326189154,4.162036995827132,8.167101916001156,6.887471423590799,-1.0,10.454633131716392,10.635059297354093,10.14424798830874,10.463545396942347,9.02492611966445,9.224251271742826,8.86579938753789,9.319534449583774,9.407249087181802,8.708379986182155,-1.0,-1.0,-1.0,10.283163215644583,9.626860405110342,7.978700647653339,7.242251742966497,5.063110500489042,8.170186172099147,6.751109881134852
5,Mic,012_00006,8.431053887594487,8.746083800775994,9.074280842718379,9.481270172332858,8.925233709608744,7.765158897646774,8.52812144694168,7.99800067295174,8.877819774398963,8.04522647947743,6.57590956910345,8.82480866337284,9.076989739102453,8.920066066378622,8.919927621560257,7.937443090217641,8.302597901845072,8.49233651628333,8.80171220851526,8.575727752126381,8.050889287256265,9.458309609920155,-1.0,9.323440036539493,-1.0,8.524635114006173,8.058776667504876,6.390756748547321,6.195898740755713,7.835395416312296,-1.0
6,Mic,012_00007,-1.0,8.908387952750036,9.159413944946362,6.220506018233466,7.2644144817096015,8.961749067610114,10.798512209935241,-1.0,8.252094148828494,-1.0,-1.0,8.930049631813535,7.752004507348175,7.712018115200105,9.673890983751217,9.232593418811673,8.57122488740099,6.663506476320369,8.874564044085101,7.661306363297297,8.900216284082854,-1.0,-1.0,-1.0,-1.0,-1.0,8.8722285548575,7.6031703777486035,6.923872829303128,5.748718454844901,7.303592296657262
7,Mic,012_00008,8.392364150669245,6.350158075937095,5.039442809339308,3.740835686275276,2.131901470856205,6.834000474116426,6.150078833123183,-1.0,9.118386897689783,7.654856489869673,8.247962446744914,-1.0,6.774623179962717,5.27278807354463,3.2769281663704994,7.272306708064937,7.207114292364872,4.554758420461842,6.5780336311763365,6.4887613027697,6.191012726398281,9.431789265837294,-1.0,8.285099659393865,-1.0,-1.0,7.9265742031278705,7.537819173921104,5.219806901567013,7.448041622503144,7.585180050095274
8,Mic,012_00009,9.032397528166975,3.0576342335993143,5.690792563900695,-1.0,3.9534100303132984,-1.0,6.84135896995174,6.7213234098382255,8.501422142615983,8.884659431485938,6.87872820206637,-1.0,-1.0,-1.0,-1.0,2.8909733853861637,6.615383701347869,6.701998681146751,6.527231500617023,6.246519533026656,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.020119300675191,5.623099587667541,4.852504377748163,6.146708051045166,5.545868608320989
9,Mic,012_00010,-1.0,6.165648649477466,3.190416267935747,6.333521945441092,-1.0,7.797189941207417,6.55199419239645,10.772526526827923,7.529794802024197,9.989820549091522,-1.0,-1.0,6.589804347480554,-1.0,4.778290822354295,8.661179573471287,7.063722729097475,7.741317184121309,-1.0,6.944706796009665,5.745852553250164,-1.0,-1.0,-1.0,-1.0,8.016998144129634,6.211596110406478,6.441421384381919,5.446273265500852,6.896875705624891,7.458695174037317
