,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Muc,015_00001,-1.0,9.058899861183477,-1.0,7.078261829208773,6.774911365252929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.845456121123455,9.044963596596052,10.385995191902895,-1.0,-1.0,-1.0,10.230923739486633,-1.0,9.75377632058035,11.000997606775044,-1.0,-1.0,-1.0,-1.0,-1.0,9.16867325832987,-1.0,8.06026841641341,8.748781847092715,-1.0
1,Muc,015_00002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,Muc,015_00003,-1.0,-1.0,7.5189517586590755,7.710757248153337,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.429448034491873,-1.0,-1.0
3,Muc,015_00004,-1.0,-1.0,8.572663292304346,-1.0,5.566867030393371,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.411951419265563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,Muc,015_00005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Muc,015_00006,-1.0,9.943283453881095,7.725963996479013,-1.0,7.35163326508151,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.561365079896069,9.853901375124629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.426490077995586,-1.0,8.901008295951224,9.32712823965432,9.294321395617954
6,Muc,015_00007,-1.0,6.731829962409613,6.599947849665348,-1.0,6.901268669510747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.846495149777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.186952933949254,-1.0,-1.0
7,Muc,015_00008,10.108976235109369,7.82916043502955,8.83253665678885,10.242485718531459,11.481858120086654,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.876552139833983,-1.0,-1.0,-1.0,8.1388266621649,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.073528422430309,13.562446277509277,10.54894925047591,11.511273905502254,-1.0
8,Muc,015_00009,11.926513901570326,11.64921591147322,11.952737436514491,11.89648611973056,13.310732288543624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.855202303588456,-1.0,-1.0,12.439398019543546,8.631268917983622,7.874884969144082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.976418836322186,-1.0
9,Muc,015_00010,7.11337776985366,7.981236140024834,8.667047145636088,8.216139365716254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.530945971900097,11.20984486695973,6.46894509767389,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.936799362698684,7.21469422589442,-1.0
10,Muc,015_00011,-1.0,8.566989599662381,8.242290347632121,-1.0,9.736126469209488,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.005000534237865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.13503212812359,10.623873285632808,11.346739698155798,11.41477915878954,10.00387332689593
11,Muc,015_00012,-1.0,8.783192149359358,-1.0,-1.0,6.15455479283096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.01930501587157,-1.0,11.41254791477232
12,Muc,015_00013,-1.0,-1.0,5.672868621094096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.3654382062980845,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.94604521360174,-1.0
13,Muc,015_00014,4.170056098551705,7.52343131185611,7.731405569155105,3.4194918922231525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.1874350454400115,10.600572305433854,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
