,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Muc,015_00001,0.0,532.8356150419179,0.0,134.63539883932881,109.00943515773928,0.0,0.0,0.0,0.0,0.0,0.0,919.4783633634993,527.7084593940252,1337.6231603907613,0.0,0.0,0.0,1201.2522085480168,0.0,862.8347927107752,2048.9166578311097,0.0,0.0,0.0,0.0,0.0,575.0004548320898,0.0,266.42089134290546,429.67558848286734,0.0
1,Muc,015_00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Muc,015_00003,0.0,0.0,182.91295811862955,208.99285767542872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1378.5394704562104,0.0,0.0
3,Muc,015_00004,0.0,0.0,380.240252610738,0.0,46.90170443833891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5449.163439394826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Muc,015_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Muc,015_00006,0.0,984.0246063953086,211.21269880868164,0.0,162.82855880479926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.661577729715,924.8795296478127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.55373087451903,0.0,477.5468807089815,641.811020532585,627.3697061070338
6,Muc,015_00007,0.0,105.78763517028672,96.50235376603557,0.0,119.03329126419806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.7823404560334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.9193641100692,0.0,0.0
7,Muc,015_00008,1103.8457704956609,226.91134762857362,455.3883262036294,1210.9219303892294,2859.6163463470066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3759.591722991785,0.0,0.0,0.0,281.3583821796391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4309.668103277991,12097.209289574224,1497.632229442368,2918.5311791674053,0.0
8,Muc,015_00009,3892.0878978241676,3211.410353383704,3963.489529676461,3811.906181423854,10160.341647194049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.3574120023936,0.0,0.0,5553.833234683169,396.02524757657284,234.2343181692562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.34963611990395,0.0
9,Muc,015_00010,137.96502206047145,252.19199293496789,405.9818557855462,296.8749606902028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.97208237593618,2368.1426867256578,88.08221073234864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.55482935350136,148.03861547100723,0.0
