,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Phe,PB04_00001,8.713466242240498,-1.0,-1.0,-1.0,-1.0,10.115160703246405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.777948390764523,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,Phe,PB04_00002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,Phe,PB04_00003,-1.0,-1.0,10.913356101757326,11.396113294789322,-1.0,-1.0,9.073079807974683,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.333305697058329,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Phe,PB04_00004,9.100493373359429,-1.0,-1.0,-1.0,-1.0,10.90086875464976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.369430245556035,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.760171294870128
4,Phe,PB04_00005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Phe,PB04_00006,7.641345456059751,-1.0,9.450612802975758,10.958802773246118,8.250019217323779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.351058488271553,-1.0,-1.0,-1.0,-1.0,-1.0,10.802274112716145,-1.0,10.177909395911415,-1.0,-1.0,-1.0,-1.0,-1.0,8.281783018577126,9.38307542578517,-1.0,-1.0
6,Phe,PB04_00007,-1.0,-1.0,9.98081027744013,-1.0,10.238191542829705,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.340763418882858,14.682157549022206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,Phe,PB04_00008,9.207193928933389,12.52689226422504,12.053975566558094,12.945566488109856,9.454351502367736,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.326200013636136,11.396605136140552,14.556487281431757,11.313179817759286,-1.0,12.571021807962367,11.374717888107256,13.915207745067324,-1.0,14.268866849591229,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.17278845632874,-1.0,-1.0
8,Phe,PB04_00009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,Phe,PB04_00010,10.089271773468353,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
