,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Phe,PB04_00001,419.27319718263243,0.0,0.0,0.0,0.0,1108.5899823826471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.4216552393191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Phe,PB04_00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Phe,PB04_00003,0.0,0.0,1928.1238806583438,2694.5817036179997,0.0,0.0,538.1035049592646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0336102581039,0.0,0.0,0.0,0.0,0.0,0.0
3,Phe,PB04_00004,548.4357059495945,0.0,0.0,0.0,0.0,1911.502579917138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.21169296918646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468.180620305102
4,Phe,PB04_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Phe,PB04_00006,199.15224109244016,0.0,699.2097589200588,1989.844950364061,303.94107670089426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2611.7160138095433,0.0,0.0,0.0,0.0,0.0,1785.2001261807823,0.0,1157.8932582927766,0.0,0.0,0.0,0.0,0.0,310.718285725477,667.2088841417722,0.0,0.0
6,Phe,PB04_00007,0.0,0.0,1009.9696517734181,0.0,1207.3214991174411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20748.632776375816,26288.24315556106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Phe,PB04_00008,590.5735813040794,5901.1075219226195,4251.646437304228,7888.170632365596,701.0253865843206,0.0,0.0,0.0,0.0,0.0,0.0,5134.683138456125,2695.5006633201947,24095.18644998482,2544.0235311833285,0.0,6084.416742709655,2654.908105208004,15448.30627210306,0.0,19739.944423307985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4616.655020916455,0.0,0.0
8,Phe,PB04_00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Phe,PB04_00010,1088.8650512283918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
