,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Pse-1,PB08_00001,7.662408030686664,8.2467857741592,8.014947238614761,8.204763953444766,8.142199051518853,6.501190453735026,8.380004532708774,7.578862260353478,5.576463299809152,5.955081855057096,-1.0,7.952817587392195,7.438257231928009,7.499522274227817,7.803041939551313,7.332726059904202,7.22224821708594,7.002099387247382,7.470598420166141,6.850191853882237,7.095354663550268,5.444449593138958,7.007774719802763,-1.0,3.2333135558042216,6.470453790105819,6.1095785661495885,5.806753712808637,6.380571573217077,6.210705386034802,7.312192816099262
1,Pse-1,PB08_00002,7.738074599660396,7.981764158484184,8.098216126125001,7.912724814970603,8.552211282428832,6.620049839699306,8.578616204803204,-1.0,8.763219426267058,6.301378621884816,7.5290599935431635,7.19889466740992,7.142864362011477,7.642225195141736,7.309883338970113,7.472864736195564,6.950811527551077,7.221557902957037,6.602394310129522,6.662830973942627,7.136695113557117,-1.0,7.662871772061523,8.094374718794825,8.03163410421843,6.467108547566653,6.470017785573925,6.4684654510458195,6.622104455710421,5.589989792538516,7.148439759508815
2,Pse-1,PB08_00003,8.210356699208472,8.058218763406801,7.658764414003816,7.7240872078205465,7.370556679905071,5.407402424347618,6.9623723215110696,6.091225356484116,-1.0,6.898654199406816,6.212978219545565,7.274992450315492,7.450371120069568,7.789971516247166,7.652404073475638,5.285775401829361,6.8928065942830745,6.5753750191840705,6.89055051508766,6.837103825563066,6.502110207227162,6.895743675572134,6.4452175754486705,7.198531961974648,8.959934772592796,6.728783375001902,7.223421498509432,6.75387690639895,6.937848566737635,6.776179507345866,7.8324060136550555
3,Pse-1,PB08_00004,8.606202980310375,8.968327198729048,8.792366452081323,8.82387863806952,9.154682868494472,6.3833752104383175,6.901091212624356,7.90523836013455,7.143080464067252,6.8994882934616655,5.671334242445462,8.224748379736837,8.11959637978456,7.927487606140657,8.12351524936259,8.37311940428486,7.328804181345301,7.24058205027168,7.447836962061042,7.440830094468593,7.00610849335813,8.075053653213581,7.261640257333369,6.625382231423389,2.0994961779093626,8.178346877449234,6.83667934131679,6.171144711510347,6.933902592782578,7.071125153684539,7.399878454574938
4,Pse-1,PB08_00005,5.409052498215115,3.306983004771174,1.8904112567657887,3.957828457288011,0.9875716600084462,-1.0,7.3938839616883545,4.983653475593926,-1.0,5.529014227674094,5.151039003252154,2.712281538495205,3.9612525096398192,2.9392101195400215,2.8009522280558685,-1.0,3.5445058397494758,3.900439557735572,3.4213514042083943,3.2895571225876887,3.325395501578259,-1.0,9.989488273537074,-1.0,2.151244283791511,6.877877235369627,4.035357790573884,4.108185883178679,3.6692431439673303,4.56482202504978,4.893559167560726
5,Pse-1,PB08_00006,6.6961711773509975,3.614629727056306,2.9169838636204615,3.330857028491739,0.8513826887277135,-1.0,-1.0,-1.0,4.765002671581536,-1.0,6.276685705787413,2.8390505805292046,4.456151556315979,3.2492858166648477,3.481343019277359,6.070764544406608,3.0664097512634196,3.537013816363881,4.520924218358089,4.032779173815872,-1.0,7.95670992596498,-1.0,-1.0,4.156745545478089,5.220610599721848,3.326718297089224,-1.0,-1.0,4.501347482615209,-1.0
6,Pse-1,PB08_00007,5.542276819231731,3.1765446902397696,3.1200152630976214,3.213664476722603,1.23490324210887,4.817497728820894,7.348968296485087,6.8333382615097715,6.086133608515887,5.8911452830579085,-1.0,3.0674115640737143,2.893105873075976,2.994409729066495,2.1011913023549287,-1.0,3.6522748987270317,3.3607746851945257,2.540967653242081,2.414843000735615,3.9431852425642817,6.699013441672127,5.7775067003166365,7.269527805658151,1.3523582471832174,7.128511722737751,4.027463934012135,3.0617913496135714,1.880865676617498,5.197740560135556,2.7199879519181023
7,Pse-1,PB08_00008,4.8026612479865785,3.134339554578973,3.5930387978066007,3.185167620757156,4.004481508960867,4.500053418424614,-1.0,6.678586872683886,6.252950670852829,-1.0,-1.0,3.9054121795277763,3.9318075361433085,3.906103047348732,3.2092669029546657,3.5631526406435508,3.36749914830957,3.839340001810702,2.247962013487145,2.7017346480286193,4.601662947785238,7.037259940999583,3.829129623929666,6.37499981749412,2.8200158184334096,6.614215733687076,3.9004464314054714,4.106377178281757,3.8566072400071,2.2300663700296632,3.3545626102255337
8,Pse-1,PB08_00009,6.612349352575072,1.4297698932936758,1.1301394702715735,3.5355825664744023,0.32968578194016146,4.530731874198261,6.102461901421208,-1.0,6.74391437528916,7.303207311471714,5.909114527172073,2.6536265448223495,3.815285133274176,3.333873821277438,3.238952816478964,4.900471484212241,2.8341916160372542,3.367488005713195,2.276056697439872,4.369268701920571,3.1044518474105964,7.437931281059387,7.841721839165219,-1.0,2.8491815570447043,7.29487562420771,4.146390761405209,5.174252646707577,4.321297282268271,4.663648088808834,-1.0
9,Pse-1,PB08_00010,6.693441190311967,2.3339380945398864,3.336331697786237,3.8199148991495955,2.5808081280455912,-1.0,7.464467374898244,-1.0,6.967704999033508,-1.0,-1.0,4.393523408304188,4.482842586523622,3.9679805979869656,4.039654811384786,4.914503574139873,4.496671944854796,2.306593088280356,-1.0,3.0220878597115606,-1.0,7.878825665329202,7.517795004025465,-1.0,8.03817040516158,4.400511057627698,3.483746752921923,4.87748744904545,4.406811943272931,6.103909663077058,2.9455397505641256
