,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Rah,PB12_00001,8.112461494038927,8.051688308289734,7.83220394195896,7.666880314544606,7.6078046448053955,2.6953419521619106,7.406107386520353,7.164506174749766,-1.0,7.248657321064373,-1.0,7.930610519087425,7.9810570387808175,7.822260079488148,7.927474298618904,7.422204988642184,7.746965861270848,7.766542265623928,7.613806764080564,7.805031902265141,7.142814866876443,6.737748700819478,6.899565773963252,3.9607356281759025,7.541528419432434,6.3613103757159895,4.1408711321171925,3.796493517505864,4.121228811834333,5.609421462036671,-1.0
1,Rah,PB12_00002,7.744923009066825,8.34598360938268,8.189290373689708,8.146147924780294,7.110737414250391,6.249226121836135,7.1445703443127755,4.584775090829894,7.639726117668677,7.4844051899112705,6.697100132796335,8.100898005765185,8.250841230530758,8.194472401105704,8.209796310189214,6.7456279771782555,7.789329923510248,7.863378845458166,8.252001788407632,7.608182117786689,7.2813817638449425,7.114063506877105,7.293046465308703,6.89915394789682,6.4094225389672035,3.437111901479453,5.772916295936086,5.681058135528052,6.959376850960579,6.816472101537672,4.907711731551464
2,Rah,PB12_00003,5.79458356025303,6.9014820764892475,7.0322989643267855,6.971247380012946,6.401078210844318,3.9800463374313706,8.329203732999463,7.317241941848967,5.954187021956161,6.925934184204025,-1.0,6.545305458645496,6.261740826506926,6.6822210130332875,6.482054033151908,5.16893291064656,5.852721195321632,5.309432103882782,7.069191987903275,5.578435661166009,5.721323295871991,7.831264301295115,6.857969843074644,7.49420158555647,7.683269959382312,6.201924012616626,4.2980440738262455,5.118690158964383,5.1321157745338,-1.0,4.350135914269749
3,Rah,PB12_00004,8.277481340116747,8.321903694150855,8.484948899058946,8.363975962651205,8.288509909005276,7.075336085064734,6.905369374040503,5.465092652730474,7.518708827644956,6.000918684390197,7.224718262354831,7.923110955407299,7.633381553835271,8.067510207686553,7.818859513807105,6.936797012984844,6.843116197001513,6.763020388929027,7.222193099175268,6.801914183552726,6.525774202449377,7.7582053167328295,6.611932001645768,7.281855632348478,5.3959678845681935,7.022635684577174,6.521851237550258,5.930262645864857,6.887348343254986,6.93238107750029,5.763608636655451
4,Rah,PB12_00005,6.3231821529632555,7.0700379193181835,6.8347639805470335,7.177426064771468,6.258035897394371,5.367536428607255,7.739646249039657,8.8499377391619,6.067104392679927,7.314419317655817,-1.0,7.263614430663235,7.2032361293298255,7.052683052579283,7.302381393431488,5.644884593243253,5.7196660668391,6.01822180668949,4.919249713047263,5.81961528200766,3.0442315752631055,7.7100555375546,7.069946176241358,8.458806667507082,7.027657601082762,5.813979127822362,5.691291745353164,6.330486796348131,3.898875981764989,6.152869220821175,-1.0
5,Rah,PB12_00006,4.899780813566812,4.24450586256397,4.448299938550004,4.2759890663466,4.041864025910599,4.746862570069965,8.836087032935025,4.156380042477499,-1.0,8.004406658210957,5.919099224438574,5.422467421711971,5.205695941526632,5.655937058631444,5.367606049469768,4.22473362681085,4.406679637042171,4.911959191501181,5.2836357848722955,4.779275748778744,4.359387743309102,5.212789679576822,6.353007726575457,7.174431567509278,8.261806636140118,7.423022993631715,4.591850497824341,4.649915368536142,5.437847600684764,5.688806019819373,4.1419254395803575
6,Rah,PB12_00007,7.451538375942748,6.159788584306884,6.083148617729817,6.169292647988062,6.664063751746354,6.788607913719422,-1.0,7.259012148064853,9.430568317907287,9.352779859770086,7.651118147737264,8.245736290185219,8.445058907229816,8.001890064463186,8.197928882315578,9.444506858001928,7.9559624498687205,8.083368109760416,6.859615440108476,8.069035357530264,6.877708256777524,9.217749000127599,7.382612859803688,8.448491510040407,4.335588665864587,7.500234813074859,6.572652351544211,6.746534156388736,7.342834179431748,7.992678966505491,-1.0
7,Rah,PB12_00008,7.3980565043089666,7.223848177026412,7.336570452108286,7.362374215319781,6.948910351960293,9.954824894229525,9.283249558946283,8.736685502751138,9.853870691042896,7.134528930164485,7.851826916228707,7.503952293506202,7.230509480456657,8.27884855202127,7.78960060709659,6.239677323960418,7.114099612766269,6.515348867216589,7.473668031377889,6.415649224580535,4.966708788864618,-1.0,6.922453600158174,8.391952337902595,9.179903450091249,9.149353258914406,9.460276537679052,9.95275973471977,10.204303964461058,9.774056017987911,9.113739852134271
8,Rah,PB12_00009,5.828687261571104,4.852226975426666,4.210422952128696,5.094286928720885,5.200137961751134,9.580381656179558,7.951592448808643,7.623612002883337,8.103986739719701,7.510900959004572,9.969177670650037,4.78907370445302,3.6140087601729034,5.194024346126036,4.255809107530439,4.200491785717074,3.797793586849024,3.6512607098421697,6.076527447833119,5.04249857477416,4.886178209283516,8.460338729044754,6.840923805741521,8.988725057649118,4.709580424173627,9.13620064636118,8.303309539510511,9.230250629339077,8.912546011854246,7.748752449787517,5.65265373961533
9,Rah,PB12_00010,5.304604658012156,3.7817780062845623,3.8726323248201595,4.0789938801314785,3.5115794783195575,3.465334805842631,4.601834195955265,-1.0,7.036354323924941,-1.0,4.615614485669817,3.2824077223654933,2.802163357459938,2.6942054938097577,1.8702665508375351,3.758557177127161,1.7706143758471027,2.4564312270948543,2.734501218756842,2.768852757078512,-1.0,8.336540392154223,6.166259249710786,5.526056888468469,7.870215219982403,6.763190205954579,5.25933777313285,5.453707422872976,2.69245000509471,4.991699223471819,-1.0
