,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Rho,PB13_00001,-1.0,-1.0,-1.0,7.978683857769706,5.86313751521193,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.862552828375943,-1.0,-1.0,-1.0,-1.0,7.568459615281377,-1.0,6.724134278026087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,Rho,PB13_00003,-1.0,-1.0,8.83688637928221,8.251837767685362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.905216207118047,8.9794154574769,-1.0,8.648425716350985,-1.0,-1.0,-1.0,8.578209611785343,6.263398399131809,-1.0,-1.0,-1.0,14.35817008752239,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,Rho,PB13_00004,-1.0,11.248430909231045,9.512469894054014,9.867522011882674,8.328827334000275,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.259298226252211,9.333350087145936,10.696293728331653,8.418020744242064,-1.0,8.509040756394441,6.876771300203041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.872267373756877,-1.0,-1.0
3,Rho,PB13_00005,-1.0,-1.0,-1.0,-1.0,7.655598114464777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,Rho,PB13_00006,-1.0,-1.0,6.338103849140054,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.726293169810683,-1.0,9.107405465438426,9.181394187152017,-1.0,-1.0,10.630009086025085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,Rho,PB13_00007,-1.0,-1.0,-1.0,6.305014443910977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.347414415838168,-1.0,-1.0,-1.0,4.959543546044804,-1.0,8.946105304633265,-1.0,9.919805340668946,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,Rho,PB13_00008,-1.0,-1.0,6.9511583855167025,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.286489085965986,-1.0
7,Rho,PB13_00009,-1.0,5.2689361840968445,7.054941019251254,8.843749766472655,8.510441714484763,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5375867631265905,-1.0,9.293926200786045,6.285141777838961,-1.0,8.992918797510349,6.737348927533222,-1.0,8.47021084887014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.834171655429783,-1.0,9.61168055050341,-1.0
8,Rho,PB13_00010,-1.0,6.939584491516033,7.851699803348827,8.412410916893338,6.876277952923724,11.028777982729755,-1.0,-1.0,-1.0,11.000861405266692,-1.0,8.803867074829393,6.299995648936616,8.65622806466943,6.965237366752038,-1.0,8.112105103649144,8.58596616001207,-1.0,7.740106334268206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.254328077582233,-1.0,8.074634531628408,11.152387800209207
9,Rho,PB13_00011,-1.0,-1.0,5.071124754368409,-1.0,5.2062074925746815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.401552336518371,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,Rho,PB13_00014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Rho,PB13_00015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.267511906213559,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.733136927558146,-1.0,-1.0,-1.0,-1.0
12,Rho,PB13_00016,-1.0,-1.0,6.557304726980205,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.343661863929118,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.891637885080052,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.333827572025474,-1.0,10.211021622071854,-1.0
