,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Rho,PB13_00001,0.0,0.0,0.0,251.7453488955621,57.70767610648293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.86818165294949,0.0,0.0,0.0,0.0,189.31623947749642,0.0,105.22218068611342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Rho,PB13_00003,0.0,0.0,456.7649026865951,304.3250736648884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.3864725487911,504.2465930668866,0.0,400.7689503320237,0.0,0.0,0.0,381.70679360998207,76.3193791558772,0.0,0.0,0.0,21000.495370264114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Rho,PB13_00004,0.0,2432.348739431342,729.8630119789848,933.6575075544149,321.03396513606526,0.0,0.0,0.0,0.0,0.0,0.0,1225.121866203147,644.5870688071851,1658.7248927642117,341.53988215997697,0.0,363.81453788191715,117.02071760583112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.11761463949114,0.0,0.0
3,Rho,PB13_00005,0.0,0.0,0.0,0.0,201.13441854631824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Rho,PB13_00006,0.0,0.0,80.4020216404657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.5440394713869,0.0,551.0720206152569,580.0973541208848,0.0,0.0,1584.2165338257041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Rho,PB13_00007,0.0,0.0,0.0,78.56758437753655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.9065498739221,0.0,0.0,0.0,30.615112256403158,0.0,492.72608979066314,0.0,968.1323262268193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Rho,PB13_00008,0.0,0.0,123.23916431776301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.73513652697585,0.0
7,Rho,PB13_00009,0.0,38.05740850090053,132.46852904640608,458.94544883089634,364.1684846807789,0.0,0.0,0.0,0.0,0.0,0.0,185.29743350796497,0.0,627.1977384534281,77.4859204019331,0.0,508.9930998046939,106.19501245286878,0.0,354.1398504149368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.9052748989578,0.0,781.855525973678,0.0
8,Rho,PB13_00010,0.0,122.25044900525124,230.49211628298602,340.2124644272573,116.98053682434453,2088.7623994622404,0.0,0.0,0.0,2048.723186268262,0.0,446.4182271895901,78.29300481974064,402.94496215734387,124.45262215499163,0.0,276.18585938854267,383.76723545025516,0.0,213.2982648578172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.2034044932984,0.0,269.09212256809707,2275.6624324902264
9,Rho,PB13_00011,0.0,0.0,33.11713226160152,0.0,36.41684846807789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63485539748759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Rho,PB13_00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
