,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Tar,PB11_00001,7.897274586347982,-1.0,6.133714669766907,8.043911569886353,7.601652278625256,-1.0,7.627467775781822,8.303062053617293,9.360930788713063,8.90446750500981,-1.0,-1.0,7.870977688297618,8.167067782187866,9.675275806779904,11.714683190441596,4.336205280811085,8.060987523225963,-1.0,7.775257013051825,-1.0,10.064336916788584,7.12203394139473,8.970109815071497,3.7385041131906993,6.285717322844301,-1.0,8.272977121396673,-1.0,-1.0,-1.0
1,Tar,PB11_00002,-1.0,-1.0,9.369855506646187,6.599115688422589,7.958671241449729,8.20202122132362,7.231570520957359,-1.0,-1.0,8.757229106941276,8.713688660467707,-1.0,-1.0,-1.0,8.034981152843622,-1.0,6.665004697099576,-1.0,-1.0,6.14006018747261,-1.0,-1.0,7.571587583479039,-1.0,-1.0,7.775076980170812,8.2957626198072,8.63029975670059,7.690434950572705,-1.0,-1.0
2,Tar,PB11_00003,8.59910194834854,-1.0,-1.0,-1.0,-1.0,6.5839771388578345,-1.0,7.789716142645978,9.207966822001959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.758240420281685,8.253382045734579,-1.0,7.260010382080598,-1.0,6.074550627141617,6.806444220361541,-1.0
3,Tar,PB11_00004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.475556224983023,-1.0,-1.0,-1.0,-1.0,7.273583549082999,-1.0,-1.0,-1.0,4.728533505479731,5.1577271092177055,7.928718559532624,6.182944451070625,-1.0,6.6592089305062405,8.105451141794106,7.761584870419151,3.7250150587184008,5.373046120377116,5.3543923109081915,6.678722617869166,-1.0,8.94170122353926,-1.0
4,Tar,PB11_00005,-1.0,-1.0,-1.0,9.408767720740844,-1.0,6.580234852227059,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.210683101857446,-1.0,-1.0,-1.0,-1.0,-1.0,9.08178060562518,9.370554087720738,8.524848498137313,6.279732220996832,-1.0,-1.0,-1.0,-1.0,-1.0
5,Tar,PB11_00006,-1.0,6.3102920201680694,9.374395551682163,7.056195530240453,5.263850704058652,5.504729540238605,-1.0,-1.0,7.263940787241604,-1.0,8.17357932443033,8.13650428716101,8.102501746031106,9.397607677720055,10.228904408547699,9.795259365102503,7.343827731076869,8.140820578501355,7.760047431141485,7.0095515521769185,-1.0,8.058302481905983,8.251661002900569,7.029686230646141,3.562741284580473,4.225578283200857,7.977831319897033,4.941333347762772,6.568704678919489,-1.0,-1.0
6,Tar,PB11_00007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.448154384776887,8.126345261230679,9.013976171467297,-1.0,6.071728823795488,-1.0,-1.0,-1.0,9.003213760167773,-1.0
7,Tar,PB11_00008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.350607537929791,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.653504837498254,-1.0,-1.0,-1.0,-1.0,8.314177052770958,7.781907307199821,-1.0,-1.0,6.3099124307644425,7.700418036171028,-1.0,6.513374518864145,-1.0,-1.0
8,Tar,PB11_00009,-1.0,-1.0,-1.0,-1.0,6.908627262002413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.1995319353181095,-1.0,-1.0,-1.0,-1.0,-1.0,5.1204816569189555,7.403146588436097,9.723662552454618,4.869050534261968,6.831617026229593,8.898760464302036,6.641026434049447,-1.0,-1.0
9,Tar,PB11_00010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.401375979027067,-1.0,-1.0,8.387127313715197,-1.0,-1.0,9.158670270371495,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.178687592497618,-1.0,9.286416930588121,-1.0
10,Tar,PB11_00011,-1.0,4.510212216047024,7.4998831512692155,-1.0,7.012544977442249,6.26019020243863,-1.0,8.611471398308788,8.35601280030763,-1.0,-1.0,-1.0,-1.0,-1.0,9.254513497317955,-1.0,-1.0,-1.0,-1.0,5.779132547940384,-1.0,-1.0,6.53366699293401,8.392888202154838,9.689499804193975,5.548943028734896,-1.0,5.6936620864868335,6.744858751914966,-1.0,-1.0
11,Tar,PB11_00012,-1.0,9.717574396906738,6.23621052890037,7.983734765929574,-1.0,7.685414044406949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.100183987034052,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.738334790627151,-1.0,-1.0,8.1134211779337,-1.0,7.324995638548599,-1.0
12,Tar,PB11_00013,7.9307930235155695,-1.0,-1.0,-1.0,-1.0,7.294960962795855,7.713312014528527,-1.0,-1.0,8.523473591163052,7.392023574625243,-1.0,-1.0,-1.0,7.711427162685233,-1.0,8.03682079766775,-1.0,9.559278625738438,-1.0,-1.0,-1.0,9.434411163300675,-1.0,4.338086953929102,5.588137524291533,7.558013849257573,-1.0,-1.0,9.0177995736745,-1.0
13,Tar,PB11_00014,7.7618083876697925,-1.0,6.6117061389144265,-1.0,-1.0,-1.0,-1.0,-1.0,7.984945941536485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.128597460306947,7.601471878148651,-1.0,9.994759011284163,5.770622438819329,-1.0,-1.0,-1.0,-1.0,-1.0
14,Tar,PB11_00015,-1.0,-1.0,-1.0,-1.0,-1.0,8.137834366181242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.593201043239189,7.1835135808495,-1.0,-1.0,8.652253510759971,-1.0,-1.0,8.549812331220835,-1.0,-1.0,6.8393256813620145,-1.0,-1.0,-1.0,-1.0,-1.0
15,Tar,PB11_00016,-1.0,-1.0,7.570007752523349,-1.0,7.197661162408241,8.438620256725002,-1.0,-1.0,-1.0,-1.0,-1.0,9.083055101865302,9.049023095132185,11.666473598485222,10.439642887332496,-1.0,-1.0,-1.0,-1.0,8.953184202316473,-1.0,10.355402677158894,-1.0,9.123260219016315,3.9119263541321994,6.726073591462328,-1.0,-1.0,-1.0,9.39812162067363,-1.0
16,Tar,PB11_00017,-1.0,8.076489771634046,7.830334436604183,7.9867180252225864,7.105305168564656,7.3482912868729775,-1.0,-1.0,-1.0,-1.0,7.859367227001891,-1.0,-1.0,9.252824460710917,9.499441448495118,9.895421174005477,8.32797523747765,7.826622467132573,-1.0,-1.0,-1.0,8.156784416481134,5.53507493933348,6.571507689971812,9.830194422086612,6.785120163384881,-1.0,6.779348186767928,6.837547736626054,6.988135287085158,7.80080377581377
17,Tar,PB11_00018,7.751340273426656,7.363420855001304,9.136994416853522,9.694458645296136,10.210312802007131,6.554309973319018,7.3331750852939885,-1.0,10.038631920024168,-1.0,8.64577859478294,10.192415431575354,11.158050738300611,10.040045782929335,10.549679123519887,11.489988204342756,7.179831821329803,9.486635247924546,-1.0,8.385888672583338,12.022071702313058,-1.0,7.205134206125558,-1.0,10.80655730946035,9.103648262395577,-1.0,-1.0,-1.0,-1.0,-1.0
18,Tar,PB11_00019,9.604099213044417,6.915350945188099,7.493652300559717,-1.0,-1.0,7.947864277805923,-1.0,9.719710734489402,-1.0,-1.0,8.459390571753016,9.59106018447217,7.973970224020478,-1.0,10.100183987034052,-1.0,8.405378007364506,-1.0,-1.0,7.878234953417923,-1.0,8.714410752073853,-1.0,-1.0,2.8875545382690286,7.521082812036565,8.62562557787093,-1.0,-1.0,-1.0,-1.0
19,Tar,PB11_00020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.15746914882433,-1.0,-1.0,-1.0,-1.0,-1.0
