,strain,gene_id,CAUS24-2_12h_1,CAUS24-2_12h_2,CAUS24-2_12h_3,CAUS24-2_12h_4,CAUS24-2_12h_5,CAUS24-2_168_5,CAUS24-2_168h_1,CAUS24-2_168h_2,CAUS24-2_168h_3,CAUS24-2_168h_4,CAUS24-2_168h_5,CAUS24-2_22h_1,CAUS24-2_22h_2,CAUS24-2_22h_3,CAUS24-2_22h_4,CAUS24-2_22h_5,CAUS24-2_38h_1,CAUS24-2_38h_2,CAUS24-2_38h_3,CAUS24-2_38h_4,CAUS24-2_38h_5,CAUS24-2_3w_1,CAUS24-2_3w_2,CAUS24-2_3w_3,CAUS24-2_3w_4,CAUS24-2_3w_5,CAUS24-2_70h_1,CAUS24-2_70h_2,CAUS24-2_70h_3,CAUS24-2_70h_4,CAUS24-2_70h_5
0,Var,004_00001,-1.0,2.7468489083657905,8.179656222691381,8.669692775091509,8.724846783515112,7.807960682694601,7.925286325136976,7.708526167988204,6.867327043775644,6.575039515895499,7.178268661963183,7.549419031851775,8.428481872745989,8.013574957281778,6.706095436462939,-1.0,7.750460502842897,7.7186354483830035,8.100920615509771,7.564661548076575,7.052074508571211,7.428430043419617,9.614184749068281,-1.0,3.040703962746755,7.224347186568582,7.441929874112178,7.525837908464776,7.3163651989569365,7.555005798238476,7.2718539765257555
1,Var,004_00002,7.1192557013560975,8.569795071024112,8.88085375742476,8.029339040690903,8.201148315973162,6.2696348057137214,8.523346403376546,6.355619354618801,7.009922446487847,6.052248987329394,7.784075640267638,9.112807217022755,7.917311750310771,9.067104995486925,8.282535866412722,-1.0,8.343201190904473,8.609976108961877,7.904743937540518,8.031366213669207,6.786229502879743,4.693582959483445,5.577231758834127,-1.0,4.305237196838093,7.781817877021373,7.597629661636301,7.8732259189775835,7.64573018007343,8.092323767076309,7.6647000463861925
2,Var,004_00003,8.102969136312767,8.266107048064901,7.746925165690774,7.317606657176656,8.438632262449563,7.3426214130205265,7.333962077258182,6.899923217987678,7.429784253660539,5.957502682431832,7.781078098674097,7.710474672665266,8.360564521933341,8.501810294542603,8.582408513901019,7.305353010544085,8.211928585987032,8.709794474938558,8.467113003465965,8.364956916506065,7.709043108466555,7.239982362712528,5.954203418215278,7.676117460940801,8.76739164907175,6.486010371255447,7.454144368503162,7.373423822047273,7.525014404160193,7.206170371112846,6.5656263232596075
3,Var,004_00004,7.894981284844458,7.905597954864806,8.563844589457743,7.563230368804035,8.185679475112044,6.836719007832434,7.0658408432499815,6.875671444147538,7.139042706003239,6.437278691619106,6.8481996522304005,8.63970008980762,8.424599436945922,6.310035140334162,7.766616621727954,8.589182267707017,8.437516924898079,8.110191955500024,8.004767700311417,8.18527324936851,6.776317640751059,7.177045537806066,5.810112875968835,8.167321540142806,8.338556288379106,8.204442778900358,7.226199252202048,6.9982779800125225,7.184478907088577,7.305058480097746,7.107985515819407
4,Var,004_00005,6.032212970262705,5.4399262111034865,6.936461195691865,7.708641196793188,-1.0,6.862026785407487,7.946457901953166,5.942756577035036,7.851206542986523,5.5843972198573875,5.485655707825297,5.033863752276908,-1.0,8.63071667318563,7.432497889534705,8.003831697728268,7.133476256265854,6.9943422257714865,7.945842658394248,7.522738975020421,6.520618406741724,7.545319767959737,5.944296896917091,-1.0,-1.0,6.932552345014076,6.428470565572418,6.699531352470899,6.867964405513785,6.66560623522563,6.2338929695333
5,Var,004_00006,6.997217769720065,6.675704500754826,7.516351796084639,7.205024431422601,8.40621094289002,7.149390044685388,7.5003322715349565,6.63807268451218,7.44452723182959,5.664524965003815,7.389046431340774,8.49083054585968,8.54666450584943,8.639085798985779,9.068090648191289,9.363785888143035,8.4275670264994,8.50068011091424,7.977745032963578,8.152361201383668,7.454848003106494,7.449143559084712,5.062203691822619,5.726865969432102,2.1161255017701537,6.964389418626799,6.879899181318514,7.108794276299988,7.021059129451586,7.147828110142064,6.377420806535966
6,Var,004_00007,4.613319536098565,8.064407325688903,7.955295607767679,6.618895950742743,7.928640367494894,7.198061500736249,2.104724254206316,5.321863087208443,6.336962923621424,7.714131709765395,4.930186050999364,8.45060203817078,7.917311750310771,5.757230063617185,7.6058532577660865,8.73913192063146,7.663911990576516,7.208031914183876,8.681096766467133,8.194207228338106,-1.0,-1.0,6.738738459269482,-1.0,-1.0,7.573741046879233,7.07176050243406,7.496009644404926,6.874167304003563,6.9302874892682755,6.668250676146885
7,Var,004_00008,9.776331961945202,-1.0,7.8555545024736695,8.181499736620765,-1.0,7.128350710656023,-1.0,9.131863012812806,-1.0,-1.0,5.489946297535729,8.602832852978091,-1.0,7.315841100062817,6.853941932535436,-1.0,7.024562769785464,8.029722648827619,8.249186090096307,6.623593482760426,6.938011596877389,-1.0,-1.0,10.365039150163536,-1.0,6.8218868787821565,6.561351481064582,7.163089002090833,6.9621093949676025,7.189120113363753,5.543723332370202
8,Var,004_00009,-1.0,7.8544262990964855,5.526392853332218,-1.0,-1.0,6.705870049386704,6.124441839394828,-1.0,7.066891786455567,8.674709370154925,6.229136044785223,-1.0,-1.0,-1.0,-1.0,9.636469794230983,5.4356830671457335,3.9778637060064614,-1.0,2.878560387257591,8.00254307543783,7.992653883212459,6.9684357101142185,-1.0,5.186349072666081,5.987630140132204,7.262262259168546,6.432115019360172,5.671820802823311,7.404258027382717,4.310674413114831
9,Var,004_00010,-1.0,-1.0,-1.0,6.947041980296114,-1.0,6.8914453575969805,-1.0,5.581391261228834,7.388288387893957,7.247439980615539,6.414383140178767,-1.0,-1.0,-1.0,-1.0,-1.0,4.377428885172341,6.128103811915246,-1.0,5.5636878177273745,-1.0,8.63442670749545,5.660905161273058,-1.0,-1.0,5.182629865383559,7.405162171489367,6.761205287577663,6.757586786197004,6.835712369531424,6.468441133121374
