,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
0,prerank,ko00630,0.7831750134157667,2.5238550541484153,0.0,0.0,0.0,15/33,8.37%,ko:K07248;ko:K01433;ko:K11472;ko:K00104;ko:K01638;ko:K00600;ko:K11473;ko:K01637;ko:K00123;ko:K00127;ko:K01915;ko:K00124;ko:K19268;ko:K03781;ko:K00626,ko00630,Glyoxylate and dicarboxylate metabolism,1_vs_0,Pseudomonas1
1,prerank,ko00280,0.82726259786066,2.376191421656653,0.0,0.0,0.0,16/20,14.60%,ko:K01969;ko:K00249;ko:K00140;ko:K00253;ko:K00020;ko:K00263;ko:K13766;ko:K00128;ko:K01782;ko:K01692;ko:K00626;ko:K01640;ko:K00248;ko:K01968;ko:K01028;ko:K01029,ko00280,"Valine, leucine and isoleucine degradation",1_vs_0,Pseudomonas1
2,prerank,ko01120,0.5057808849305969,2.188452003292069,0.0,0.0,0.0,63/199,14.91%,ko:K00148;ko:K00114;ko:K07248;ko:K02510;ko:K11472;ko:K00104;ko:K01638;ko:K12661;ko:K00600;ko:K00074;ko:K00140;ko:K11473;ko:K07046;ko:K18333;ko:K01607;ko:K01477;ko:K01637;ko:K00123;ko:K00031;ko:K03335;ko:K01785;ko:K03338;ko:K00127;ko:K01915;ko:K00124;ko:K00010;ko:K00128;ko:K03336;ko:K00615;ko:K01782;ko:K00448;ko:K01692;ko:K19268;ko:K01857;ko:K03862;ko:K01061;ko:K14974;ko:K00121;ko:K01053;ko:K00641;ko:K00626;ko:K00137;ko:K03778;ko:K03337;ko:K15634;ko:K13483;ko:K13979;ko:K01501;ko:K01640;ko:K19745;ko:K00248;ko:K01032;ko:K01799;ko:K01070;ko:K18030;ko:K00135;ko:K05549;ko:K01960;ko:K00449;ko:K11178;ko:K01430;ko:K00362;ko:K01457,ko01120,Microbial metabolism in diverse environments,1_vs_0,Pseudomonas1
3,prerank,ko00362,0.7477291051354562,2.031862213193543,0.0,0.00150233696861785,0.005,11/16,15.43%,ko:K00074;ko:K01607;ko:K01782;ko:K00448;ko:K01692;ko:K01857;ko:K00626;ko:K01032;ko:K05549;ko:K00449;ko:K01055,ko00362,Benzoate degradation,1_vs_0,Pseudomonas1
4,prerank,ko00040,0.7985850677863963,1.9885956813872039,0.0,0.0036056087246828404,0.015,7/12,10.39%,ko:K01805;ko:K01685;ko:K14259;ko:K00008;ko:K13877;ko:K14274;ko:K01686,ko00040,Pentose and glucuronate interconversions,1_vs_0,Pseudomonas1
5,prerank,ko00260,0.5879683148997118,1.9593743816372942,0.0,0.00540841308702426,0.026,14/40,11.40%,ko:K21833;ko:K00302;ko:K00304;ko:K01752;ko:K00303;ko:K00600;ko:K00305;ko:K21834;ko:K00479;ko:K21832;ko:K00130;ko:K15634;ko:K00108;ko:K01754,ko00260,"Glycine, serine and threonine metabolism",1_vs_0,Pseudomonas1
6,prerank,ko05022,0.8792915865846901,1.9217068651204638,0.0,0.007211217449365681,0.047,6/7,11.73%,ko:K08738;ko:K00413;ko:K00412;ko:K03781;ko:K04565;ko:K00411,ko05022,Pathways of neurodegeneration - multiple diseases,1_vs_0,Pseudomonas1
7,prerank,ko05014,0.8792915865846901,1.9217068651204638,0.0,0.007211217449365681,0.047,6/7,11.73%,ko:K08738;ko:K00413;ko:K00412;ko:K03781;ko:K04565;ko:K00411,ko05014,Amyotrophic lateral sclerosis,1_vs_0,Pseudomonas1
8,prerank,ko00562,0.8584104847496667,1.9111653240771747,0.0,0.007344758513242822,0.054,6/8,9.38%,ko:K00140;ko:K03335;ko:K03338;ko:K00010;ko:K03336;ko:K03337,ko00562,Inositol phosphate metabolism,1_vs_0,Pseudomonas1
9,prerank,ko00071,0.7555468352565444,1.907943925078007,0.0,0.00661028266191854,0.054,8/12,11.18%,ko:K00249;ko:K00128;ko:K01782;ko:K01692;ko:K00121;ko:K00626;ko:K01897;ko:K00248,ko00071,Fatty acid degradation,1_vs_0,Pseudomonas1
