,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
64,gs_ind_0,ko01100,78/723,0.00017765342914275486,0.008231275550280975,1.7759514360687512,15.336541074425519,ko:K11472;ko:K12661;ko:K01433;ko:K00148;ko:K00114;ko:K03782;ko:K00249;ko:K14274;ko:K01785;ko:K01805;ko:K06044;ko:K00700;ko:K01485;ko:K01725;ko:K01061;ko:K00412;ko:K00020;ko:K00104;ko:K01703;ko:K00031;ko:K01584;ko:K11473;ko:K01130;ko:K01483;ko:K00600;ko:K00303;ko:K01782;ko:K00305;ko:K03335;ko:K01969;ko:K01042;ko:K00059;ko:K00413;ko:K01874;ko:K00140;ko:K00128;ko:K00304;ko:K00615;ko:K00074;ko:K18289;ko:K00404;ko:K14259;ko:K01685;ko:K00626;ko:K01607;ko:K21834;ko:K07248;ko:K21833;ko:K18333;ko:K01897;ko:K07043;ko:K00405;ko:K00008;ko:K00406;ko:K00703;ko:K01637;ko:K07046;ko:K03781;ko:K01915;ko:K00123;ko:K08738;ko:K00130;ko:K18930;ko:K03338;ko:K01707;ko:K00127;ko:K01752;ko:K02510;ko:K00263;ko:K01708;ko:K00097;ko:K03336;ko:K01477;ko:K01638;ko:K00479;ko:K00302;ko:K00253;ko:K01712,up,ko01100,Metabolic pathways,1_vs_0,Pseudomonas1
66,gs_ind_0,ko01120,31/221,0.000446866943090148,0.015528626272382643,2.1763926705423504,16.78706005683351,ko:K11472;ko:K12661;ko:K01061;ko:K00148;ko:K00140;ko:K00114;ko:K00128;ko:K01637;ko:K07046;ko:K00615;ko:K00074;ko:K01915;ko:K00104;ko:K00123;ko:K00626;ko:K01607;ko:K07248;ko:K03338;ko:K01785;ko:K03862;ko:K00127;ko:K00031;ko:K02510;ko:K11473;ko:K00600;ko:K01782;ko:K03336;ko:K03335;ko:K18333;ko:K01477;ko:K01638,up,ko01120,Microbial metabolism in diverse environments,1_vs_0,Pseudomonas1
78,gs_ind_0,ko02020,18/123,0.004844222079466439,0.04218419067071588,2.2210005872953005,11.837863408732176,ko:K03406;ko:K00405;ko:K00626;ko:K07684;ko:K11689;ko:K02651;ko:K11688;ko:K02279;ko:K01915;ko:K00412;ko:K00404;ko:K00406;ko:K11690;ko:K08738;ko:K00413;ko:K02283;ko:K01991;ko:K18093,up,ko02020,Two-component system,1_vs_0,Pseudomonas1
67,gs_ind_0,ko01200,14/88,0.006009193805764657,0.04913399641184043,2.443576897627375,12.497587739612047,ko:K01782;ko:K00615;ko:K00148;ko:K03781;ko:K00140;ko:K00031;ko:K00074;ko:K00127;ko:K01752;ko:K01638;ko:K00600;ko:K00123;ko:K01637;ko:K00626,up,ko01200,Carbon metabolism,1_vs_0,Pseudomonas1
14,gs_ind_0,ko00260,10/40,0.0006105456536126048,0.016973169170430413,4.310391545860995,31.90188665946965,ko:K00130;ko:K00304;ko:K00305;ko:K01752;ko:K00479;ko:K00600;ko:K00302;ko:K00303;ko:K21833;ko:K21834,up,ko00260,"Glycine, serine and threonine metabolism",1_vs_0,Pseudomonas1
192,gs_ind_0,ko03010,8/53,0.0011445555976615695,0.024607945349723746,4.63869992441421,31.41670315274028,ko:K02931;ko:K02967;ko:K02935;ko:K02954;ko:K02864;ko:K02890;ko:K02874;ko:K02895,down,ko03010,Ribosome,1_vs_0,Pseudomonas1
162,gs_ind_0,ko00620,6/36,0.002902094438868025,0.04991602434853003,5.215238257028795,30.469104241458254,ko:K01003;ko:K01649;ko:K13979;ko:K00116;ko:K01679;ko:K00163,down,ko00620,Pyruvate metabolism,1_vs_0,Pseudomonas1
27,gs_ind_0,ko00380,5/15,0.003987498737308624,0.03959016603470705,6.4387846291331545,35.57165243420899,ko:K01782;ko:K03782;ko:K03781;ko:K00128;ko:K00626,up,ko00380,Tryptophan metabolism,1_vs_0,Pseudomonas1
182,gs_ind_0,ko01210,7/32,0.00022609748685440453,0.011108581087921985,7.288266091777025,61.18167253342244,ko:K01649;ko:K01704;ko:K00053;ko:K00163;ko:K01438;ko:K01703;ko:K00812,down,ko01210,2-Oxocarboxylic acid metabolism,1_vs_0,Pseudomonas1
42,gs_ind_0,ko00630,13/34,4.644076697059544e-07,6.455266608912766e-05,8.025600938049639,117.03335033341534,ko:K07248;ko:K11472;ko:K01433;ko:K03781;ko:K00127;ko:K01638;ko:K01915;ko:K00104;ko:K11473;ko:K00600;ko:K00123;ko:K01637;ko:K00626,up,ko00630,Glyoxylate and dicarboxylate metabolism,1_vs_0,Pseudomonas1
6,gs_ind_0,ko00053,4/10,0.004855734177924131,0.04218419067071588,8.479384615384616,45.1747268059289,ko:K00128;ko:K01707;ko:K01708;ko:K14259,up,ko00053,Ascorbate and aldarate metabolism,1_vs_0,Pseudomonas1
3,gs_ind_0,ko00040,5/12,0.001272120524060441,0.02210309410555016,9.02609472743521,60.17760597858519,ko:K14274;ko:K00008;ko:K01805;ko:K14259;ko:K01685,up,ko00040,Pentose and glucuronate interconversions,1_vs_0,Pseudomonas1
8,gs_ind_0,ko00071,5/12,0.001272120524060441,0.02210309410555016,9.02609472743521,60.17760597858519,ko:K01782;ko:K00128;ko:K00249;ko:K01897;ko:K00626,up,ko00071,Fatty acid degradation,1_vs_0,Pseudomonas1
16,gs_ind_0,ko00280,9/20,6.052469134446405e-06,0.0004206466048440251,10.372483621203097,124.62584966817322,ko:K01782;ko:K00020;ko:K00140;ko:K00128;ko:K00263;ko:K01969;ko:K00249;ko:K00253;ko:K00626,up,ko00280,"Valine, leucine and isoleucine degradation",1_vs_0,Pseudomonas1
110,gs_ind_0,ko05014,4/8,0.0018296713985989103,0.02312039312774987,12.258666666666667,77.27396278900753,ko:K08738;ko:K00412;ko:K03781;ko:K00413,up,ko05014,Amyotrophic lateral sclerosis,1_vs_0,Pseudomonas1
35,gs_ind_0,ko00562,4/8,0.0018296713985989103,0.02312039312774987,12.258666666666667,77.27396278900753,ko:K00140;ko:K03338;ko:K03335;ko:K03336,up,ko00562,Inositol phosphate metabolism,1_vs_0,Pseudomonas1
148,gs_ind_0,ko00290,4/12,0.0010151594171431207,0.024607945349723746,12.810689758136757,88.30036450395369,ko:K01649;ko:K01703;ko:K00053;ko:K01704,down,ko00290,"Valine, leucine and isoleucine biosynthesis",1_vs_0,Pseudomonas1
114,gs_ind_0,ko05022,4/7,0.0009728943226943039,0.02210309410555016,15.768,109.35478692192382,ko:K08738;ko:K00412;ko:K03781;ko:K00413,up,ko05022,Pathways of neurodegeneration - multiple diseases,1_vs_0,Pseudomonas1
108,gs_ind_0,ko05010,3/5,0.003945192195289415,0.03959016603470705,17.085941644562332,94.57508846366613,ko:K08738;ko:K00412;ko:K00413,up,ko05010,Alzheimer disease,1_vs_0,Pseudomonas1
113,gs_ind_0,ko05020,3/5,0.003945192195289415,0.03959016603470705,17.085941644562332,94.57508846366613,ko:K08738;ko:K00412;ko:K00413,up,ko05020,Prion disease,1_vs_0,Pseudomonas1
104,gs_ind_0,ko04932,3/4,0.0016724316945808644,0.02312039312774987,28.48894783377542,182.1434215363141,ko:K08738;ko:K00412;ko:K00413,up,ko04932,Non-alcoholic fatty liver disease,1_vs_0,Pseudomonas1
217,gs_ind_0,ko05152,3/4,0.00025833909506795314,0.011108581087921985,56.05862646566164,463.11362794361816,ko:K04077;ko:K04043;ko:K02040,down,ko05152,Tuberculosis,1_vs_0,Pseudomonas1
68,gs_ind_0,ko02025,10/49,0.0011605918653443134,0.019343197755738558,3.8607594936708862,26.094198461374223,ko:K21000;ko:K02405;ko:K20998;ko:K11903;ko:K20999;ko:K21003;ko:K11893;ko:K21004;ko:K11900;ko:K21001,up,ko02025,Biofilm formation - Pseudomonas aeruginosa,2_vs_0,Pseudomonas1
35,gs_ind_0,ko00630,9/34,0.0002673520849249106,0.0066838021231227646,5.409599802065936,44.50447516477121,ko:K07248;ko:K03781;ko:K00124;ko:K00127;ko:K01915;ko:K00104;ko:K00123;ko:K01637;ko:K19268,up,ko00630,Glyoxylate and dicarboxylate metabolism,2_vs_0,Pseudomonas1
27,gs_ind_0,ko00541,6/21,0.0019243531260973432,0.027490758944247757,6.0020972735443925,37.53210703501653,ko:K20429;ko:K01790;ko:K00978;ko:K01709;ko:K19180;ko:K21379,up,ko00541,Biosynthesis of various nucleotide sugars,2_vs_0,Pseudomonas1
23,gs_ind_0,ko00500,6/15,0.00024902487030902806,0.0066838021231227646,9.818315137689424,81.4719645395227,ko:K00688;ko:K00978;ko:K06044;ko:K00703;ko:K16147;ko:K00700,up,ko00500,Starch and sucrose metabolism,2_vs_0,Pseudomonas1
3,gs_ind_0,ko00040,5/12,0.0006843777294998115,0.013687554589996228,10.467487179487179,76.2765849037245,ko:K14274;ko:K00008;ko:K01805;ko:K01685;ko:K13877,up,ko00040,Pentose and glucuronate interconversions,2_vs_0,Pseudomonas1
70,gs_ind_0,ko02030,8/16,2.7883099847563846e-06,0.00013941549923781924,14.536050156739812,185.91717004984858,ko:K03406;ko:K02417;ko:K03415;ko:K02416;ko:K02410;ko:K03408;ko:K03407;ko:K03776,up,ko02030,Bacterial chemotaxis,2_vs_0,Pseudomonas1
