locus_tag,genome,substrate,TC,assembly_code,shortname
004_00039,004_S2,copper,3.A.3.5.34,004,Var
004_00058,004_S2,leucine,2.A.76.1.5,004,Var
004_00088,004_S2,uracil,2.A.40.1.1,004,Var
004_00094,004_S2,coenzyme a,2.A.6.6.11,004,Var
004_00162,004_S2,manganese,3.A.1.15.15,004,Var
004_00166,004_S2,urea,3.A.1.4.5,004,Var
004_00216,004_S2,arginine|histidine|lysine,3.A.1.3.27,004,Var
004_00225,004_S2,cadaverine|spermidine,2.A.117.1.3,004,Var
004_00251,004_S2,ammonia,1.A.11.1.1,004,Var
004_00300,004_S2,nickel,3.A.1.22.1,004,Var
004_00353,004_S2,arabinose|potassium,2.A.1.2.3,004,Var
004_00360,004_S2,putrescine|spermidine,3.A.1.11.1|3.A.1.11.10,004,Var
004_00369,004_S2,acetate,2.A.80.1.2,004,Var
004_00419,004_S2,arginine|aspartate|fumarate|histidine|l-lysine|ornithine|succinate|sulfate,2.A.53.3.1,004,Var
004_00438,004_S2,chloride,2.A.49.5.5,004,Var
004_00446,004_S2,biotin,2.A.88.1.1|3.A.1.25.1,004,Var
004_00461,004_S2,nadp,3.D.2.2.2,004,Var
004_00462,004_S2,coa,4.C.1.1.4,004,Var
004_00467,004_S2,l-alanine|nickel,3.A.1.5.3,004,Var
004_00472,004_S2,fructose,4.A.2.1.21,004,Var
004_00496,004_S2,potassium,2.A.72.1.1,004,Var
004_00499,004_S2,benzoate,2.A.46.1.9,004,Var
004_00532,004_S2,cobalt,3.A.1.23.6,004,Var
004_00535,004_S2,l-threonine,2.A.76.1.2,004,Var
004_00735,004_S2,d-galactonate|gluconate,2.A.56.1.9,004,Var
004_00780,004_S2,citrate,2.A.1.6.7,004,Var
004_00794,004_S2,d-glucosamine,4.D.1.1.3,004,Var
004_00799,004_S2,l-threonine|serine,2.A.76.1.1|2.A.76.1.10,004,Var
004_00805,004_S2,asparagine|cysteine|glutamine|s-adenosyl-l-methionine,2.A.7.3.2,004,Var
004_00838,004_S2,sodium,2.A.56.1.6,004,Var
004_00863,004_S2,nad,1.A.115.1.2,004,Var
004_00876,004_S2,cobalt|nickel,3.A.1.210.9,004,Var
004_00884,004_S2,arginine|asparagine|aspartate|glutamate|glutamine|histidine|lysine|ornithine,3.A.1.3.1|3.A.1.3.19,004,Var
004_00912,004_S2,nickel,3.A.1.5.33,004,Var
004_00913,004_S2,biotin,3.A.1.25.4,004,Var
004_00960,004_S2,adenosine|guanosine|inosine|phosphate,2.A.1.2.25,004,Var
004_01167,004_S2,arabinose|fucose|galactose|glucose|xylose,3.A.1.2.5,004,Var
004_01169,004_S2,arabinose,3.A.1.2.14,004,Var
004_01181,004_S2,chloride,3.A.1.135.7,004,Var
004_01197,004_S2,iron,3.A.1.10.6,004,Var
004_01239,004_S2,2-hydroxybutyrate|alanine|butyrate|cysteine|histidine|lactate|propionate|pyruvate,2.A.21.4.1,004,Var
004_01243,004_S2,phosphate,3.A.1.20.2,004,Var
004_01245,004_S2,glycerol,3.A.1.20.4,004,Var
004_01256,004_S2,maltose|sucrose|trehalose,3.A.1.1.17,004,Var
004_01311,004_S2,glucose,3.A.1.139.1,004,Var
004_01332,004_S2,aspartate|glutamate,2.A.23.1.5,004,Var
004_01350,004_S2,iron,3.D.3.1.1,004,Var
004_01353,004_S2,chloride,1.A.12.3.1,004,Var
004_01359,004_S2,sodium,1.A.104.1.1,004,Var
004_01430,004_S2,alanine|isoleucine|l-isoleucine|l-threonine|leucine|methionine|phenylalanine|serine|tyrosine|valine,3.A.1.4.1,004,Var
004_01473,004_S2,sodium,2.A.28.3.4,004,Var
004_01474,004_S2,phosphate,2.A.58.2.1,004,Var
004_01476,004_S2,molybdate,3.A.1.6.9,004,Var
004_01505,004_S2,alanine|l-isoleucine|l-threonine|leucine|serine|valine,3.A.1.4.10,004,Var
004_01556,004_S2,arabinose|deoxyguanosine|xanthosine|xylitol|xylose,3.A.1.2.1,004,Var
004_01566,004_S2,2-oxoglutarate|arabinose,2.A.1.6.2,004,Var
004_01569,004_S2,glycolate|lactate,2.A.14.1.2,004,Var
004_01600,004_S2,l-serine,2.A.76.1.9,004,Var
004_01607,004_S2,acetate,2.A.1.6.13,004,Var
004_01625,004_S2,copper|deoxycholate|l-cysteine|sodium|sulfate|zinc,2.A.6.2.7,004,Var
004_01637,004_S2,lactose|melibiose,2.A.1.2.18,004,Var
004_01707,004_S2,iron|succinate,3.D.10.1.6,004,Var
004_01745,004_S2,d-fructose|phosphate,2.A.66.4.1,004,Var
004_01762,004_S2,phosphate,2.A.20.1.4,004,Var
004_01800,004_S2,alanine|glycine|histidine|leucine|proline|serine,3.A.1.4.2,004,Var
004_01801,004_S2,carnitine|crotonobetaine,4.C.1.1.6,004,Var
004_01837,004_S2,zinc,2.A.5.4.17,004,Var
004_01840,004_S2,rhamnose,3.A.1.5.12,004,Var
004_01841,004_S2,methionine,3.A.1.24.3,004,Var
004_01854,004_S2,arabinose,2.A.1.46.6,004,Var
004_01880,004_S2,pyruvate,2.A.56.3.4,004,Var
004_01883,004_S2,pyruvate,2.A.56.3.3,004,Var
004_01893,004_S2,molybdate,3.A.1.8.2,004,Var
004_01930,004_S2,potassium|sodium,2.A.63.1.1,004,Var
004_01931,004_S2,chloride,1.A.43.1.1,004,Var
004_01932,004_S2,4-hydroxybenzoate|benzoate,2.A.56.3.2,004,Var
004_02016,004_S2,copper,2.A.6.3.7,004,Var
004_02025,004_S2,arsenate|arsenite,2.A.45.1.2,004,Var
004_02072,004_S2,betaine|choline|glycine|l-proline,3.A.1.12.4,004,Var
004_02078,004_S2,sodium,3.A.1.115.1,004,Var
004_02100,004_S2,chloride|sodium|sulfate|thiamine,2.A.7.1.10,004,Var
004_02114,004_S2,sodium,2.A.111.1.2,004,Var
004_02168,004_S2,heme,3.A.1.14.21,004,Var
004_02169,004_S2,iron|molybdate,3.A.1.14.1|3.A.1.14.18,004,Var
004_02170,004_S2,iron,3.A.1.14.3,004,Var
004_02202,004_S2,sulfate,2.A.53.4.2,004,Var
004_02219,004_S2,iron,3.A.1.9.1,004,Var
004_02270,004_S2,asparagine|aspartate|glutamate|glutamine,3.A.1.3.7,004,Var
004_02307,004_S2,glucose|glycerol|phosphate|trehalose,3.A.1.1.3|3.A.1.1.35,004,Var
004_02335,004_S2,cysteine,3.A.1.129.1,004,Var
004_02360,004_S2,chloride|cysteine|deoxyuridine|sodium|sulfate|uridine,2.A.1.3.3,004,Var
004_02366,004_S2,mannose,3.A.1.2.7,004,Var
004_02439,004_S2,taurine,2.A.56.1.4,004,Var
004_02448,004_S2,l-alanine,2.A.7.3.19,004,Var
004_02464,004_S2,nad,1.A.115.1.3,004,Var
004_02481,004_S2,arabinose|glucose|ribose|xylose,3.A.1.2.2,004,Var
004_02521,004_S2,lactate,2.A.1.13.9,004,Var
004_02619,004_S2,zinc,3.A.1.15.19,004,Var
004_02674,004_S2,zinc,3.A.1.15.3,004,Var
004_02717,004_S2,sodium,1.A.30.2.2,004,Var
004_02762,004_S2,trehalose,3.A.1.1.41,004,Var
004_02763,004_S2,galactose|glucose|mannose,3.A.1.1.13,004,Var
004_02795,004_S2,citrate,2.A.80.1.4,004,Var
004_02798,004_S2,chloride,2.A.6.3.8,004,Var
004_02821,004_S2,potassium,2.A.72.3.6,004,Var
004_02840,004_S2,alanine|betaine|choline|glycine|l-proline|proline,3.A.1.12.1,004,Var
004_02868,004_S2,acetate,2.A.102.4.13,004,Var
004_02874,004_S2,chloride,2.A.49.5.3,004,Var
004_02878,004_S2,cyanocob(iii)alamin,3.A.1.14.26,004,Var
004_02879,004_S2,iron,3.A.1.14.9,004,Var
004_02880,004_S2,iron|manganese,3.A.1.15.7,004,Var
004_02897,004_S2,chloride|copper|deoxycholate|sodium|sulfate|thiamine|zinc,2.A.6.2.1,004,Var
004_02956,004_S2,zinc,3.A.29.1.5,004,Var
004_02997,004_S2,cytidine,3.A.1.2.17,004,Var
004_03081,004_S2,calcium,3.A.6.1.1,004,Var
004_03090,004_S2,sodium,3.A.2.2.2,004,Var
004_03106,004_S2,arabinose,2.A.1.2.14,004,Var
004_03130,004_S2,arabinose,2.A.1.21.21,004,Var
004_03148,004_S2,chloride|sodium|sulfate|zinc,2.A.1.2.9,004,Var
004_03149,004_S2,chloride|l-cysteine,2.A.1.3.1,004,Var
004_03166,004_S2,chloride|citrate|fad|sodium,2.A.66.1.2|2.A.66.1.25,004,Var
004_03211,004_S2,copper,3.A.3.27.4,004,Var
004_03307,004_S2,chloride,2.A.1.3.50,004,Var
004_03378,004_S2,thiamine,2.A.7.3.39,004,Var
004_03384,004_S2,butyrate,2.A.73.1.1,004,Var
004_03413,004_S2,nickel,3.A.1.5.24,004,Var
004_03453,004_S2,l-histidine,3.A.1.24.5,004,Var
004_03481,004_S2,l-cysteine,3.A.1.122.1,004,Var
004_03484,004_S2,sulfate,3.A.1.6.3,004,Var
004_03486,004_S2,sulfate|thiosulfate,3.A.1.6.12,004,Var
004_03519,004_S2,taurine,3.A.1.17.1,004,Var
004_03524,004_S2,sodium|sulfate|thiosulfate,3.A.1.6.1,004,Var
004_03551,004_S2,maltose,3.A.1.5.8,004,Var
004_03553,004_S2,nickel,3.A.1.5.40,004,Var
004_03554,004_S2,nickel,3.A.1.5.43,004,Var
004_03646,004_S2,pyrophosphate,3.A.10.2.1,004,Var
004_03664,004_S2,zinc,2.A.5.5.5,004,Var
004_03692,004_S2,chloride,2.A.66.1.12,004,Var
004_03696,004_S2,phosphate,3.A.1.7.1,004,Var
004_03736,004_S2,betaine|l-proline,3.A.1.5.17,004,Var
004_03863,004_S2,iron,3.D.6.1.1,004,Var
004_03871,004_S2,sodium,3.B.1.1.2,004,Var
004_03887,004_S2,sodium,2.A.36.3.3,004,Var
004_03932,004_S2,chloride|deoxycholate|sodium|sulfate|thiamine,2.A.7.1.11,004,Var
004_03959,004_S2,acetate|aspartate|benzoate|fumarate|glutamate|malate|succinate,2.A.23.1.1|2.A.23.1.10,004,Var
004_04124,004_S2,glucose,3.A.1.1.30,004,Var
004_04129,004_S2,arabinose|arginine|deoxycholate|histidine|lysine,2.A.1.3.2,004,Var
004_04131,004_S2,chloride,1.B.17.3.10,004,Var
004_04147,004_S2,iron,3.D.1.6.1,004,Var
004_04157,004_S2,thiamine,2.A.7.3.40,004,Var
004_04165,004_S2,nitrate,3.A.1.16.1,004,Var
004_04168,004_S2,nitrate,3.D.11.1.1,004,Var
004_04186,004_S2,sodium,2.A.28.2.4,004,Var
004_04190,004_S2,molybdate,3.A.1.6.5,004,Var
004_04204,004_S2,cadmium|cobalt|copper|nickel|zinc,2.A.4.1.1,004,Var
004_04205,004_S2,cadmium|cobalt|zinc,2.A.6.1.2,004,Var
004_04220,004_S2,cadmium|calcium|cobalt|copper|lead|mercury|nickel|zinc,3.A.3.6.1|3.A.3.6.12,004,Var
004_04278,004_S2,chloride|copper|deoxycholate|sodium|sulfate|zinc,2.A.6.2.12,004,Var
004_04402,004_S2,iron,3.A.1.10.2,004,Var
004_04411,004_S2,chromate,2.A.51.1.4,004,Var
004_04473,004_S2,sodium,1.A.46.2.8,004,Var
004_04506,004_S2,cobalt|nickel,3.A.1.23.8,004,Var
004_04507,004_S2,methionine,3.A.1.24.1,004,Var
004_04571,004_S2,taurine,3.A.1.17.4,004,Var
004_04579,004_S2,l-alanine,3.A.1.5.38,004,Var
004_04656,004_S2,arginine|histidine|lysine,3.A.1.3.29,004,Var
004_04689,004_S2,guanosine,2.A.40.7.4,004,Var
004_04706,004_S2,dctp|fumarate|itaconate|malate|succinate,2.A.56.1.1|2.A.56.1.10,004,Var
004_04714,004_S2,magnesium|nickel,3.A.3.4.1,004,Var
004_04733,004_S2,thiamine,3.A.1.17.8,004,Var
004_04754,004_S2,arginine|glutamine|histidine|lysine,3.A.1.3.12,004,Var
004_04766,004_S2,alanine|l-isoleucine|l-threonine|leucine|serine|valine,3.A.1.4.8,004,Var
004_04769,004_S2,gamma-aminobutyric acid,3.A.1.4.3,004,Var
004_04808,004_S2,allantoin,2.A.39.3.4,004,Var
004_04811,004_S2,xanthine,2.A.40.3.3,004,Var
004_04815,004_S2,choline|glucose|maltoheptaose|maltose|maltotetraose|melibiose|raffinose|stachyose|sucrose|trehalose|xylose,3.A.1.1.5,004,Var
004_04874,004_S2,hydrogen|pyruvate,2.A.114.1.1,004,Var
004_04909,004_S2,urea,3.A.1.4.4,004,Var
004_04918,004_S2,phosphate,2.A.20.1.2,004,Var
004_04921,004_S2,riboflavin,2.A.7.3.56,004,Var
004_04964,004_S2,asparagine|glutamate|glutamine,3.A.1.3.25,004,Var
004_05011,004_S2,molybdate|sodium,3.A.1.8.4,004,Var
004_05013,004_S2,molybdate,3.A.1.8.1,004,Var
004_05036,004_S2,aspartate|fumarate|succinate,2.A.53.3.11,004,Var
004_05074,004_S2,sodium,2.A.21.8.3,004,Var
004_05085,004_S2,choline,3.A.1.1.50,004,Var
004_05087,004_S2,melibiose|raffinose|stachyose,3.A.1.1.53,004,Var
004_05092,004_S2,tryptophan,3.A.1.34.1,004,Var
004_05136,004_S2,nickel,2.A.99.1.3,004,Var
004_05157,004_S2,chloride|deoxycholate|sodium|sulfate|thiamine,2.A.6.2.13,004,Var
004_05176,004_S2,gluconate,2.A.8.1.4,004,Var
004_05189,004_S2,iron|manganese|zinc,3.A.1.15.8,004,Var
004_05262,004_S2,arginine|histidine|lysine,2.A.75.1.2,004,Var
004_05292,004_S2,potassium,2.A.37.1.1,004,Var
004_05316,004_S2,4-hydroxybenzoate|acetate|benzoate|spermidine,2.A.1.15.1,004,Var
004_05406,004_S2,formate|oxalate,2.A.1.11.1,004,Var
004_05507,004_S2,cadmium|cobalt|zinc,2.A.4.3.9,004,Var
004_05521,004_S2,cadmium|cobalt|iron|mercury|zinc,2.A.4.7.1|2.A.4.7.10,004,Var
004_05527,004_S2,arabinose|deoxycholate,2.A.1.3.26,004,Var
004_05547,004_S2,copper,3.A.1.132.2,004,Var
004_05556,004_S2,gamma-aminobutyric acid,3.A.1.11.6,004,Var
004_05567,004_S2,acetate|citrate|glycolate|lactate|pyruvate,2.A.1.6.1|2.A.1.6.11,004,Var
004_05583,004_S2,sodium,3.B.1.1.4,004,Var
004_05613,004_S2,arabinose|galactose|glucose|maltose|mannose|sucrose|trehalose|xylose,3.A.1.1.1,004,Var
004_05616,004_S2,maltose|trehalose,3.A.1.1.7,004,Var
004_05757,004_S2,sodium,3.A.2.1.2,004,Var
004_05807,004_S2,l-threonine|riboflavin,2.A.7.3.6,004,Var
004_05821,004_S2,fructose,4.A.2.1.26,004,Var
004_05823,004_S2,n-acetylgalactosamine,4.A.6.1.18,004,Var
004_05860,004_S2,glycine|l-alanine|l-serine|l-threonine,2.A.95.1.4,004,Var
004_05864,004_S2,isoleucine|leucine|methionine|valine,3.A.1.4.14,004,Var
004_05886,004_S2,cobalt|folate,3.A.1.26.10|3.A.1.26.7,004,Var
004_05900,004_S2,sodium,3.A.1.115.2,004,Var
004_05934,004_S2,glycerol,1.A.8.13.3,004,Var
004_05954,004_S2,potassium,3.A.3.7.1,004,Var
004_06168,004_S2,ferrichrome|potassium,1.B.14.1.2|1.B.14.1.20,004,Var
004_06252,004_S2,manganese,2.A.55.2.6,004,Var
004_06256,004_S2,phosphate,3.A.23.6.1,004,Var
004_06285,004_S2,copper,2.A.1.81.1,004,Var
004_06290,004_S2,potassium,1.A.1.24.3,004,Var
004_06294,004_S2,lactate,2.A.106.1.8,004,Var
004_06300,004_S2,potassium,2.A.37.1.3,004,Var
004_06505,004_S2,maltose|maltotetraose|trehalose,3.A.1.1.22,004,Var
004_06506,004_S2,maltodextrin|maltose,3.A.1.1.44,004,Var
005_00063,005_S3,potassium,1.A.2.2.2,005,Fla
005_00090,005_S3,iron,3.A.1.14.8,005,Fla
005_00111,005_S3,citrate,2.A.47.3.4,005,Fla
005_00140,005_S3,cadmium|cobalt|iron|nickel|zinc,2.A.4.7.9,005,Fla
005_00169,005_S3,arabinose,2.A.1.2.14,005,Fla
005_00222,005_S3,phosphate,3.A.23.6.1,005,Fla
005_00264,005_S3,iron,3.A.1.10.4,005,Fla
005_00296,005_S3,alanine|isoleucine|l-isoleucine|l-threonine|leucine|methionine|phenylalanine|serine|tyrosine|valine,3.A.1.4.1|3.A.1.4.10,005,Fla
005_00383,005_S3,glycine|l-alanine|l-serine|l-threonine,2.A.95.1.4,005,Fla
005_00535,005_S3,iron,3.A.1.9.1,005,Fla
005_00546,005_S3,n-acetylneuraminate|sialic acid,2.A.1.12.1,005,Fla
005_00611,005_S3,galactose|glucose|sodium,2.A.1.7.2,005,Fla
005_00680,005_S3,serine,2.A.95.1.6,005,Fla
005_00737,005_S3,chloride|sodium|sulfate|thiamine,2.A.7.1.10,005,Fla
005_00816,005_S3,succinate,3.D.10.1.2,005,Fla
005_00973,005_S3,sodium,3.A.2.1.5,005,Fla
005_00997,005_S3,potassium|sodium,2.A.33.1.2,005,Fla
005_01001,005_S3,magnesium,1.A.26.1.2,005,Fla
005_01164,005_S3,cadmium|potassium|zinc,2.A.4.1.3,005,Fla
005_01208,005_S3,sodium,3.A.2.1.12,005,Fla
005_01251,005_S3,sodium,3.A.1.115.2,005,Fla
005_01280,005_S3,glucose|sodium,2.A.21.3.3,005,Fla
005_01409,005_S3,iron,3.D.1.6.1,005,Fla
005_01432,005_S3,d-glucosamine|fructose|glucose|mannose|trehalose,2.A.1.7.1|2.A.1.7.12,005,Fla
005_01439,005_S3,sodium|sulfate,2.A.6.3.14,005,Fla
005_01606,005_S3,maltose,2.A.2.6.2,005,Fla
005_01616,005_S3,acetate,2.A.1.6.8,005,Fla
