locus_tag,substrate,genome
ASS_004_S2_00039,cupper,Varoivorax
ASS_004_S2_00088,uracil,Varoivorax
ASS_004_S2_00094,coenzyme a,Varoivorax
ASS_004_S2_00094,coenzyme a,Varoivorax
ASS_004_S2_00162,manganese,Varoivorax
ASS_004_S2_00166,urea,Varoivorax
ASS_004_S2_00213,histidine|lysine|arginine,Varoivorax
ASS_004_S2_00248,ammonia,Varoivorax
ASS_004_S2_00297,nickel,Varoivorax
ASS_004_S2_00350,potassium|arabinose,Varoivorax
ASS_004_S2_00357,putrescine|spermidine,Varoivorax
ASS_004_S2_00366,acetate,Varoivorax
ASS_004_S2_00416,succinate|ornithine|sulfate|fumarate|aspartate|histidine|l-lysine|arginine,Varoivorax
ASS_004_S2_00443,biotin,Varoivorax
ASS_004_S2_00458,nadp,Varoivorax
ASS_004_S2_00459,coa,Varoivorax
ASS_004_S2_00464,nickel|l-alanine,Varoivorax
ASS_004_S2_00464,nickel|l-alanine,Varoivorax
ASS_004_S2_00469,fructose,Varoivorax
ASS_004_S2_00493,potassium,Varoivorax
ASS_004_S2_00496,benzoate,Varoivorax
ASS_004_S2_00529,cobalt,Varoivorax
ASS_004_S2_00732,d-galactonate|gluconate,Varoivorax
ASS_004_S2_00777,citrate,Varoivorax
ASS_004_S2_00791,d-glucosamine,Varoivorax
ASS_004_S2_00873,nickel|cobalt,Varoivorax
ASS_004_S2_00881,glutamate|glutamine|asparagine|ornithine|histidine|aspartate|lysine|arginine,Varoivorax
ASS_004_S2_00909,nickel,Varoivorax
ASS_004_S2_00910,biotin,Varoivorax
ASS_004_S2_00957,adenosine|guanosine|inosine|phosphate,Varoivorax
ASS_004_S2_01164,arabinose|fucose|glucose|galactose|xylose,Varoivorax
ASS_004_S2_01166,arabinose,Varoivorax
ASS_004_S2_01166,arabinose,Varoivorax
ASS_004_S2_01178,chloride,Varoivorax
ASS_004_S2_01194,iron,Varoivorax
ASS_004_S2_01236,cysteine|propionate|2-hydroxybutyrate|butyrate|lactate|histidine|alanine|pyruvate,Varoivorax
ASS_004_S2_01240,phosphate,Varoivorax
ASS_004_S2_01242,glycerol,Varoivorax
ASS_004_S2_01242,glycerol,Varoivorax
ASS_004_S2_01253,trehalose|maltose|sucrose,Varoivorax
ASS_004_S2_01308,glucose,Varoivorax
ASS_004_S2_01347,iron,Varoivorax
ASS_004_S2_01350,chloride,Varoivorax
ASS_004_S2_01356,sodium,Varoivorax
ASS_004_S2_01427,tyrosine|valine|methionine|leucine|serine|isoleucine|l-threonine|l-isoleucine|phenylalanine|alanine,Varoivorax
ASS_004_S2_01427,tyrosine|valine|methionine|leucine|serine|isoleucine|l-threonine|l-isoleucine|phenylalanine|alanine,Varoivorax
ASS_004_S2_01470,sodium,Varoivorax
ASS_004_S2_01471,phosphate,Varoivorax
ASS_004_S2_01473,molybdate,Varoivorax
ASS_004_S2_01502,valine|leucine|serine|l-isoleucine|l-threonine|alanine,Varoivorax
ASS_004_S2_01553,xylitol|arabinose|deoxyguanosine|xanthosine|xylose,Varoivorax
ASS_004_S2_01563,arabinose|2-oxoglutarate,Varoivorax
ASS_004_S2_01563,arabinose|2-oxoglutarate,Varoivorax
ASS_004_S2_01566,lactate|glycolate,Varoivorax
ASS_004_S2_01622,zinc|deoxycholate|l-cysteine|sulfate|cupper|sodium,Varoivorax
